campaign_id,customer_segment,campaign_name,campaign_type,start_date,end_date,recommended_product_id,recommended_product_name,campaign_budget,total_customers_reached,total_conversions,total_campaign_cost,total_revenue_generated
1,Retired,Savings Account Campaign for Retired,Email,2022-04-05,2022-05-27,104,Savings Account,60151.25,3298,143,17942.5,21908.41
2,Young Professionals,Personal Loan Campaign for Young Professionals,SMS,2023-10-22,2023-12-15,102,Personal Loan,68448.6,1292,58,41332.48,73636.57
3,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2023-06-16,2023-08-04,107,Wealth Management,91113.81,2776,103,65764.39,186039.87
4,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Mobile App Notifications,2024-03-13,2024-05-05,102,Personal Loan,79436.87,3624,287,68488.35,118117.41
5,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,SMS,2023-03-16,2023-05-02,102,Personal Loan,24221.9,5894,358,82473.91,119068.75
6,Middle-Market,Credit Card Campaign for Middle-Market,Mobile App Notifications,2023-06-28,2023-07-28,101,Credit Card,74084.4,7559,383,60199.3,124319.03
7,High-Value,Investment Product Campaign for High-Value,Mobile App Notifications,2023-03-20,2023-04-26,105,Investment Product,95700.96,1498,54,79547.68,126197.81
8,Middle-Market,Auto Loan Campaign for Middle-Market,SMS,2023-03-28,2023-05-26,106,Auto Loan,71758.07,7262,272,27572.33,57615.53
9,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2023-09-16,2023-10-22,107,Wealth Management,59281.94,9898,703,17179.73,38081.93
10,Young Professionals,Personal Loan Campaign for Young Professionals,Mobile App Notifications,2024-05-15,2024-06-28,102,Personal Loan,42808.65,2966,101,59871.46,161758.15
11,Young Professionals,Auto Loan Campaign for Young Professionals,Mobile App Notifications,2022-03-05,2022-04-10,106,Auto Loan,37941.76,6822,492,38999.37,106574.16
12,Young Professionals,Auto Loan Campaign for Young Professionals,SMS,2023-04-30,2023-06-13,106,Auto Loan,71058.83,1663,112,58823.98,113898.6
13,Retired,Savings Account Campaign for Retired,Direct Mail,2023-01-26,2023-03-07,104,Savings Account,47906.72,3099,182,27595.49,48456.38
14,Middle-Market,Savings Account Campaign for Middle-Market,SMS,2022-06-25,2022-08-03,104,Savings Account,30859.84,2568,146,52946.26,97447.83
15,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Email,2023-05-23,2023-07-10,102,Personal Loan,31022.98,3977,252,94049.74,204665.07
16,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2023-04-16,2023-05-17,107,Wealth Management,94743.84,6451,182,89962.74,276429.6
17,Retired,Wealth Management Campaign for Retired,Direct Mail,2023-06-04,2023-07-26,107,Wealth Management,35318.99,7214,387,71165.16,89056.43
18,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Mobile App Notifications,2023-01-13,2023-02-17,102,Personal Loan,72181.35,8109,288,20672.85,33985.7
19,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Mobile App Notifications,2023-02-27,2023-04-04,102,Personal Loan,60474.91,2039,63,72431.83,214143.4
20,Retired,Wealth Management Campaign for Retired,Email,2024-03-19,2024-05-14,107,Wealth Management,60739.74,7952,241,27611.95,85037.6
21,Retired,Wealth Management Campaign for Retired,Direct Mail,2022-09-13,2022-11-07,107,Wealth Management,51721.99,1795,68,52849.87,87854.21
22,Retired,Savings Account Campaign for Retired,Direct Mail,2022-09-14,2022-11-06,104,Savings Account,56650.16,7099,194,29278.94,50880.72
23,Middle-Market,Savings Account Campaign for Middle-Market,Email,2022-05-26,2022-07-01,104,Savings Account,33775.25,8275,209,103480.27,323422.1
24,Retired,Wealth Management Campaign for Retired,Direct Mail,2023-10-27,2023-11-28,107,Wealth Management,41615.54,1708,47,40078.79,73207.0
25,Budget-Conscious,Credit Card Campaign for Budget-Conscious,SMS,2023-07-27,2023-09-13,101,Credit Card,78533.45,7733,435,76843.79,179086.75
26,Middle-Market,Credit Card Campaign for Middle-Market,SMS,2024-05-18,2024-06-18,101,Credit Card,61399.63,5582,275,61648.55,109664.28
27,Retired,Wealth Management Campaign for Retired,Direct Mail,2022-08-22,2022-09-26,107,Wealth Management,59257.26,7890,224,15222.36,17353.65
28,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Email,2023-09-14,2023-11-06,102,Personal Loan,43809.9,9647,482,58714.04,75543.41
29,Young Professionals,Credit Card Campaign for Young Professionals,SMS,2022-04-23,2022-06-04,101,Credit Card,62308.77,9098,399,74736.2,116846.82
30,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2023-10-16,2023-12-15,107,Wealth Management,50463.82,4091,303,39268.23,59954.85
31,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Email,2022-06-26,2022-08-20,102,Personal Loan,23695.27,2528,146,18952.32,39449.14
32,Middle-Market,Savings Account Campaign for Middle-Market,Mobile App Notifications,2024-01-26,2024-03-12,104,Savings Account,55908.74,5377,304,76634.18,142953.95
33,Young Professionals,Auto Loan Campaign for Young Professionals,SMS,2022-05-03,2022-06-08,106,Auto Loan,30959.44,6334,219,12524.17,19926.01
34,Young Professionals,Auto Loan Campaign for Young Professionals,SMS,2022-03-04,2022-05-02,106,Auto Loan,61527.98,6535,137,13997.35,22853.1
35,Young Professionals,Personal Loan Campaign for Young Professionals,Mobile App Notifications,2023-04-21,2023-06-01,102,Personal Loan,79540.16,8576,363,41508.87,85238.59
36,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2022-06-29,2022-07-30,107,Wealth Management,52431.57,4499,157,36525.09,93765.33
37,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Email,2023-01-06,2023-02-15,106,Auto Loan,55213.11,9766,701,46121.2,82729.98
38,Young Professionals,Auto Loan Campaign for Young Professionals,SMS,2024-05-01,2024-06-24,106,Auto Loan,69189.66,9998,472,19364.97,43769.26
39,Young Professionals,Credit Card Campaign for Young Professionals,SMS,2022-01-21,2022-03-21,101,Credit Card,64900.36,7662,255,42973.26,95296.33
40,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2022-07-01,2022-08-03,107,Wealth Management,59744.5,6825,525,58917.28,160021.62
41,Young Professionals,Personal Loan Campaign for Young Professionals,SMS,2024-02-09,2024-03-25,102,Personal Loan,44809.26,8872,322,12635.59,20863.57
42,Young Professionals,Auto Loan Campaign for Young Professionals,Mobile App Notifications,2023-11-22,2024-01-21,106,Auto Loan,47418.13,1261,74,45265.42,119665.52
43,Retired,Wealth Management Campaign for Retired,Direct Mail,2024-02-10,2024-03-30,107,Wealth Management,61110.92,8013,189,52840.18,105386.0
44,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Mobile App Notifications,2023-02-07,2023-03-17,106,Auto Loan,53135.26,4445,255,29417.58,58427.31
45,Middle-Market,Personal Loan Campaign for Middle-Market,Mobile App Notifications,2022-06-17,2022-08-01,102,Personal Loan,49817.94,7973,426,45376.5,60591.39
46,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Email,2023-06-22,2023-08-11,106,Auto Loan,55181.09,4996,377,88561.5,216838.05
47,Middle-Market,Auto Loan Campaign for Middle-Market,Email,2023-06-15,2023-08-09,106,Auto Loan,53101.18,2163,72,60089.66,126289.71
48,Retired,Savings Account Campaign for Retired,Email,2022-02-21,2022-04-13,104,Savings Account,44473.47,3543,237,79392.51,200412.43
49,Retired,Savings Account Campaign for Retired,Email,2024-05-26,2024-07-15,104,Savings Account,65237.92,4288,330,67912.71,152477.22
50,Young Professionals,Credit Card Campaign for Young Professionals,SMS,2022-03-19,2022-04-23,101,Credit Card,57157.68,8275,222,14416.42,25646.56
