engagement_id,customer_id,campaign_id,channel,Sent Count,Delivered Count,Open Rate (%),Click-Through Rate (CTR) (%),engagement_date,engagement_time,conversion_status
1,8300,1,Email,4252,3712,37.92,17.24,2022-04-28 20:33:37,20:33:37,No
2,79425,1,Email,3142,3024,42.71,7.64,2022-04-24 09:11:11,09:11:11,No
3,41007,1,Email,1317,1273,57.76,13.89,2022-05-22 10:39:15,10:39:15,No
4,68780,1,Email,4337,4119,57.55,19.43,2022-05-12 16:21:08,16:21:08,No
5,90012,1,Email,5220,4375,52.05,18.36,2022-04-18 15:04:32,15:04:32,No
6,98333,1,Email,3108,3020,38.08,19.78,2022-05-21 13:03:17,13:03:17,Yes
7,99896,1,Email,980,880,37.74,12.62,2022-05-07 11:41:04,11:41:04,No
8,79890,1,Email,2630,2276,44.15,17.35,2022-05-14 10:22:24,10:22:24,No
9,27662,1,Email,2289,1837,54.69,18.11,2022-04-12 11:04:37,11:04:37,No
10,91607,1,Email,1750,1409,52.54,20.67,2022-05-25 13:55:17,13:55:17,No
11,60684,1,Email,3998,3659,50.91,20.09,2022-05-23 09:10:40,09:10:40,No
12,80119,1,Email,3438,2920,59.95,9.12,2022-04-23 11:32:22,11:32:22,No
13,2473,1,Email,4177,3750,61.82,8.64,2022-05-11 12:29:47,12:29:47,No
14,68185,1,Email,1484,1148,51.19,10.27,2022-05-10 13:09:38,13:09:38,No
15,79399,1,Email,4016,3712,48.72,19.54,2022-04-30 08:16:21,08:16:21,No
16,21140,1,Email,5036,4144,46.29,8.79,2022-04-19 15:41:44,15:41:44,No
17,5907,1,Email,1038,897,60.86,20.31,2022-05-04 11:35:12,11:35:12,No
18,48131,1,Email,2666,2539,42.0,17.32,2022-04-30 19:35:00,19:35:00,No
19,82261,1,Email,2896,2605,65.9,5.29,2022-05-12 15:47:55,15:47:55,No
20,49297,1,Email,1986,1633,51.5,16.32,2022-04-23 18:12:39,18:12:39,Yes
21,27798,1,Email,3864,3583,44.81,19.95,2022-04-15 15:26:53,15:26:53,No
22,86532,1,Email,4664,4024,44.8,18.48,2022-04-28 16:05:05,16:05:05,No
23,1583,1,Email,3606,2883,56.87,5.33,2022-05-08 14:39:21,14:39:21,No
24,33831,1,Email,1816,1551,61.59,18.66,2022-04-14 19:16:24,19:16:24,No
25,39248,1,Email,1709,1578,41.31,9.18,2022-05-16 10:28:32,10:28:32,No
26,12825,1,Email,3936,4276,48.83,19.4,2022-04-25 11:24:29,11:24:29,Yes
27,85679,1,Email,1359,1143,47.21,19.75,2022-05-09 06:39:24,06:39:24,No
28,43753,1,Email,4894,4312,39.76,13.76,2022-04-29 16:52:35,16:52:35,No
29,55345,1,Email,3298,3360,42.37,18.65,2022-04-08 15:24:09,15:24:09,No
30,39922,1,Email,1851,1672,49.95,11.19,2022-05-10 13:43:56,13:43:56,No
31,88525,1,Email,4680,4322,73.92,11.82,2022-04-23 09:09:36,09:09:36,No
32,27120,1,Email,4601,4155,36.13,18.09,2022-05-12 06:09:09,06:09:09,No
33,42095,1,Email,2849,2544,64.6,10.9,2022-05-06 11:04:27,11:04:27,No
34,10760,1,Email,3032,2583,62.28,17.92,2022-05-07 14:08:27,14:08:27,No
35,17256,1,Email,3792,3358,60.11,5.33,2022-04-05 09:58:26,09:58:26,No
36,81741,1,Email,4172,3748,56.35,6.04,2022-04-30 12:05:42,12:05:42,No
37,97980,1,Email,1186,1062,38.59,11.99,2022-04-16 11:33:18,11:33:18,No
38,3151,1,Email,1103,974,35.24,8.67,2022-04-07 11:33:37,11:33:37,No
39,26813,1,Email,1650,1442,44.28,5.68,2022-04-26 11:01:44,11:01:44,No
40,68076,1,Email,3776,3415,45.7,10.41,2022-04-13 11:29:31,11:29:31,No
41,88065,1,Email,4885,4723,52.28,5.71,2022-04-25 14:13:04,14:13:04,No
42,94390,1,Email,2155,2102,61.11,7.63,2022-04-08 13:17:46,13:17:46,No
43,61437,1,Email,4248,3322,63.18,11.37,2022-04-17 14:18:39,14:18:39,No
44,7012,1,Email,4973,4318,37.18,8.19,2022-05-22 11:10:06,11:10:06,No
45,66083,1,Email,3584,3118,73.3,12.85,2022-04-25 11:05:39,11:05:39,No
46,3282,1,Email,2010,1603,49.01,11.35,2022-04-05 08:05:32,08:05:32,No
47,67069,1,Email,2891,2606,61.44,17.63,2022-04-05 11:24:07,11:24:07,No
48,43052,1,Email,2438,2048,62.1,12.33,2022-04-16 16:48:31,16:48:31,No
49,55365,1,Email,982,880,58.13,16.5,2022-05-19 09:48:32,09:48:32,No
50,51509,1,Email,1945,1771,41.38,12.84,2022-04-12 10:40:44,10:40:44,No
51,49388,1,Email,4350,4139,52.28,8.85,2022-05-25 14:18:05,14:18:05,Yes
52,16120,1,Email,3981,2865,47.68,11.9,2022-04-21 10:37:51,10:37:51,No
53,83672,1,Email,2104,2138,57.0,15.91,2022-04-05 14:17:44,14:17:44,No
54,56123,1,Email,1549,1478,52.94,15.2,2022-04-16 13:10:56,13:10:56,No
55,25785,1,Email,1022,902,54.96,9.08,2022-04-06 12:53:18,12:53:18,No
56,39058,1,Email,5112,4377,38.95,14.64,2022-04-15 10:50:17,10:50:17,No
57,78419,1,Email,4019,3345,57.53,8.92,2022-05-16 11:02:50,11:02:50,Yes
58,3649,1,Email,2571,2036,38.64,10.97,2022-04-19 13:20:56,13:20:56,No
59,12113,1,Email,2530,2651,49.82,18.34,2022-05-18 12:17:03,12:17:03,No
60,58094,1,Email,1243,1136,43.7,10.99,2022-05-16 09:21:10,09:21:10,No
61,85389,1,Email,4492,3627,57.07,12.19,2022-04-18 12:05:53,12:05:53,No
62,62530,1,Email,2601,2484,54.86,15.59,2022-05-02 10:56:22,10:56:22,No
