campaign_id,customer_segment,campaign_name,campaign_type,start_date,end_date,target_audience,offer_details,recommended_product_id,recommended_product_name,campaign_budget,total_customers_reached,total_conversions,conversion_rate,total_campaign_cost,total_revenue_generated,ROI,customer_lifetime_value,cost_per_conversion,created_at
1,High-Value,Wealth Management Campaign for High-Value,Email,2023-04-14,2023-05-15,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,76467.18,8045,189,0.0235,79645.43,210948.37,1.6486,507.9,421.23,2024-12-11
2,Retired,Wealth Management Campaign for Retired,Direct Mail,2024-02-15,2024-03-31,Retired customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for Retired customers.,107,Wealth Management,41957.52,6305,386,0.0533,78893.08,88220.25,0.1182,1826.18,176.26,2024-12-09
3,Middle-Market,Auto Loan Campaign for Middle-Market,SMS,2023-08-13,2023-09-28,Middle-Market customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Middle-Market customers.,106,Auto Loan,29044.51,1724,132,0.0663,41048.39,59656.96,0.4533,1170.53,404.58,2024-12-12
4,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,SMS,2022-10-06,2022-11-21,Budget-Conscious customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Budget-Conscious customers.,106,Auto Loan,56213.54,5617,231,0.039,57924.52,143747.98,1.4816,2515.74,295.76,2024-12-10
5,High-Value,Investment Product Campaign for High-Value,Mobile App Notifications,2023-01-19,2023-02-27,High-Value customers interested in Investment Product solutions.,Special offer on our Investment Product tailored for High-Value customers.,105,Investment Product,50629.23,2354,83,0.0363,61443.98,125097.14,1.036,3650.45,887.66,2024-12-22
6,High-Value,Wealth Management Campaign for High-Value,Email,2023-07-01,2023-08-01,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,52815.78,3885,177,0.0472,57464.39,140641.68,1.4475,641.38,315.04,2024-12-08
7,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2022-12-05,2023-01-07,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,56995.77,3831,201,0.0636,19266.71,39407.93,1.0454,1823.83,96.9,2024-12-14
8,Retired,Mortgage Campaign for Retired,Email,2022-12-17,2023-01-20,Retired customers interested in Mortgage solutions.,Special offer on our Mortgage tailored for Retired customers.,103,Mortgage,42347.83,7932,292,0.0384,82038.38,136540.27,0.6643,2576.84,269.79,2024-12-29
9,Middle-Market,Auto Loan Campaign for Middle-Market,SMS,2022-12-18,2023-01-31,Middle-Market customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Middle-Market customers.,106,Auto Loan,38423.2,3781,238,0.06,22337.63,42885.46,0.9199,3481.24,110.38,2024-12-26
10,Young Professionals,Auto Loan Campaign for Young Professionals,Mobile App Notifications,2022-05-28,2022-07-04,Young Professionals customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Young Professionals customers.,106,Auto Loan,55044.62,2319,70,0.033,80717.73,239166.37,1.963,4223.11,1304.26,2024-12-26
11,Young Professionals,Auto Loan Campaign for Young Professionals,Mobile App Notifications,2024-03-04,2024-04-08,Young Professionals customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Young Professionals customers.,106,Auto Loan,22323.62,7143,224,0.0354,11664.83,17725.19,0.5195,1130.05,56.59,2024-12-20
12,Middle-Market,Personal Loan Campaign for Middle-Market,Email,2023-01-10,2023-02-16,Middle-Market customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Middle-Market customers.,102,Personal Loan,31454.59,9448,428,0.0452,64739.61,119803.27,0.8505,3234.01,151.66,2024-12-15
13,Middle-Market,Personal Loan Campaign for Middle-Market,Email,2023-09-22,2023-11-01,Middle-Market customers interested in Personal Loan solutions.,Special offer on our Personal Loan tailored for Middle-Market customers.,102,Personal Loan,34848.2,9200,559,0.0651,15438.38,24586.71,0.5926,4475.42,25.83,2024-12-08
14,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2022-03-19,2022-05-09,High-Value customers interested in Wealth Management solutions.,Special offer on our Wealth Management tailored for High-Value customers.,107,Wealth Management,72040.0,9369,371,0.0464,51959.48,145174.98,1.794,746.24,146.12,2024-12-24
15,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Mobile App Notifications,2022-07-26,2022-08-25,Budget-Conscious customers interested in Auto Loan solutions.,Special offer on our Auto Loan tailored for Budget-Conscious customers.,106,Auto Loan,73215.89,9870,242,0.0264,37128.35,107987.31,1.9085,1541.6,174.21,2024-12-25
16,Retired,Savings Account Campaign for Retired,Email,2024-05-10,2024-07-07,Retired customers interested in Savings Account solutions.,Special offer on our Savings Account tailored for Retired customers.,104,Savings Account,43752.39,1756,81,0.0473,56678.28,93864.32,0.6561,3029.36,689.97,2024-12-16
