age,credit_default,income,credit_card,personal_loan,mortgage,savings_account,investment_product,auto_loan,wealth_management,days_since_last_transaction,current_balance,peak_month,peak_month_spending,peak_month_frequency,total_transactions_3m,total_transactions_6m,total_transactions_12m,total_transaction_amount_3m,total_transaction_amount_6m,total_transaction_amount_12m,average_transaction_amount_3m,average_transaction_amount_6m,average_transaction_amount_12m,transaction_frequency_3m,transaction_frequency_6m,transaction_frequency_12m,high_value_transaction_rate_3m,high_value_transaction_rate_6m,high_value_transaction_rate_12m,online_transaction_ratio_3m,online_transaction_ratio_6m,online_transaction_ratio_12m,has_mobile_app,has_web_account,mobile_logins_per_week,web_logins_per_week,avg_mobile_session_duration,avg_web_session_duration,job_blue-collar,job_entrepreneur,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,education_secondary,education_tertiary,region_Suburban,region_Urban,cluster
38,0,2603,1,1,1,1,1,1,1,11,5694.487701796852,11,12893.350846370498,48,95,217,411,14545.179015613045,29958.358715250342,57718.6866384422,153.1071475327689,138.0569526048403,140.43476067747494,31.666666666666668,36.16666666666666,34.25,0.1157894736842105,0.0783410138248847,0.0535279805352798,0.6221025776247743,0.7489275458578046,0.6803427333729222,1,1,10,5,3.5,6.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
73,0,3130,1,0,0,0,1,1,0,33,6638.183864100579,9,5563.095303884493,25,69,162,252,10717.607838165612,24831.656841715543,28871.83304489609,155.32764982848715,153.28183235626878,114.570766051175,23.0,27.0,21.0,0.1304347826086956,0.1419753086419753,0.123015873015873,0.5022746783231891,0.4885437542975917,0.5945456226138881,1,1,6,10,2.5,5.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
87,0,2401,1,1,0,1,0,0,0,0,4850.871858404006,6,3312.3118412556983,15,46,90,153,5781.801272123625,9324.21104096784,14030.90855537598,125.69133200268747,103.60234489964266,91.70528467566,15.333333333333334,15.0,12.75,0.1304347826086956,0.1111111111111111,0.0915032679738562,0.4051969997221981,0.4701441155157962,0.4951673143987842,1,1,6,8,3.0,6.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
46,0,3355,1,1,0,1,0,1,1,29,9230.253143537326,2,26961.491730861228,52,97,152,467,16805.007014138864,42354.80525811661,116077.5427733372,173.2474949911223,278.65003459287243,248.560048765176,32.333333333333336,25.33333333333333,38.91666666666666,0.0824742268041237,0.1381578947368421,0.0899357601713062,0.6567064881166961,0.6499646963600039,0.6371805351709204,1,1,5,5,3.2,6.5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
70,0,4918,1,1,1,1,0,1,0,16,6118.843752216876,5,10021.024507229007,35,84,192,311,21384.700364998425,28913.365031284648,40822.3433943288,254.57976624998125,150.5904428712742,131.26155432260066,28.0,32.0,25.916666666666668,0.1785714285714285,0.15625,0.1607717041800643,0.5178933023226652,0.4428363168849311,0.4766057223792047,0,1,0,7,0.0,6.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
56,0,6548,1,0,1,1,1,1,0,19,11440.758365380563,9,35896.64696352082,51,147,242,539,51454.2887862494,127104.16930850215,191752.30150342663,350.0291754166626,525.2238401177775,355.755661416376,49.0,40.333333333333336,44.91666666666666,0.1768707482993197,0.1239669421487603,0.1428571428571428,0.7672344903094218,0.697906151755804,0.7625211059836097,0,1,0,7,0.0,2.6,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
35,0,2055,1,0,0,1,0,1,0,13,6068.711767534338,12,27018.19975051511,34,86,159,397,9635.606799177192,11269.644288347728,169771.3932786463,112.04193952531618,70.87826596445112,427.6357513316028,28.666666666666668,26.5,33.083333333333336,0.1395348837209302,0.1194968553459119,0.0856423173803526,0.6452741942646504,0.5925399818681931,0.5446193751533499,1,1,11,6,2.1,5.3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
40,0,3264,1,1,0,1,1,1,0,58,4921.950573920175,6,21981.87032046532,35,100,167,342,18308.15713740922,31629.070632287847,135492.35327536965,183.0815713740922,189.39563252866972,396.1764715654084,33.333333333333336,27.83333333333333,28.5,0.03,0.0958083832335329,0.067251461988304,0.6584504766672975,0.6723690392638686,0.6186979964379368,1,1,4,6,6.4,2.4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
44,0,4243,1,1,0,0,0,0,0,54,4882.471470768508,6,33747.620802351885,42,107,195,456,26444.463132570963,53657.30771842904,151607.1475702869,247.14451525767257,275.1656806073284,332.4718148471204,35.666666666666664,32.5,38.0,0.1495327102803738,0.123076923076923,0.1008771929824561,0.710761811858734,0.6453373015580818,0.6817414941614448,1,1,4,4,6.2,4.3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
37,0,7613,0,0,0,1,1,1,0,10,21809.64011955026,2,19737.05601593652,52,127,349,501,44564.51757092716,115442.33761610436,127255.59041468913,350.90171315690674,330.78033700889506,254.0031744804174,42.333333333333336,58.16666666666666,41.75,0.1889763779527559,0.1117478510028653,0.1357285429141716,0.666227320676295,0.756700562782227,0.7823748922002246,1,1,11,5,0.9,4.3,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2
