engagement_id,customer_id,campaign_id,channel,sent,delivered,opened,clicked,engagement_date,engagement_time,conversion_status
1,3110,1,Email,Yes,Yes,No,No,2022-03-26 14:34:53,14:34:53,No
2,2468,1,Email,Yes,Yes,No,No,2022-03-29 06:49:52,06:49:52,Yes
3,7168,1,Email,Yes,Yes,No,No,2022-04-02 13:34:07,13:34:07,No
4,9616,1,Email,Yes,Yes,No,No,2022-03-26 11:50:42,11:50:42,No
5,7365,1,Email,Yes,Yes,No,Yes,2022-04-05 14:36:54,14:36:54,No
6,5126,1,Email,Yes,Yes,Yes,No,2022-03-21 16:00:38,16:00:38,No
7,7335,1,Email,Yes,Yes,No,No,2022-03-25 12:05:28,12:05:28,No
8,2914,1,Email,Yes,Yes,No,No,2022-04-10 15:11:00,15:11:00,No
9,5881,1,Email,Yes,Yes,No,No,2022-04-27 09:05:22,09:05:22,Yes
10,577,1,Email,Yes,Yes,No,No,2022-03-17 11:13:48,11:13:48,Yes
11,3948,1,Email,Yes,Yes,No,No,2022-04-22 18:57:50,18:57:50,No
12,4255,1,Email,Yes,No,No,No,2022-04-14 14:15:09,14:15:09,No
13,8084,1,Email,Yes,Yes,No,No,2022-03-28 18:37:59,18:37:59,No
14,3138,1,Email,Yes,Yes,No,No,2022-04-07 08:34:41,08:34:41,No
15,1292,1,Email,Yes,Yes,Yes,No,2022-04-18 10:31:37,10:31:37,No
16,140,1,Email,Yes,Yes,No,No,2022-04-08 13:16:03,13:16:03,No
17,4970,1,Email,Yes,Yes,No,No,2022-03-31 12:53:48,12:53:48,No
18,3831,1,Email,Yes,Yes,No,No,2022-03-19 17:15:50,17:15:50,No
19,1644,1,Email,Yes,Yes,Yes,No,2022-03-20 13:01:27,13:01:27,No
20,41,1,Email,Yes,Yes,No,No,2022-03-21 10:29:20,10:29:20,No
21,6852,1,Email,Yes,Yes,No,No,2022-04-18 14:10:27,14:10:27,Yes
22,1998,1,Email,Yes,Yes,Yes,No,2022-03-30 15:29:14,15:29:14,No
23,8438,1,Email,Yes,Yes,No,No,2022-04-11 15:36:26,15:36:26,Yes
24,3472,1,Email,Yes,Yes,No,No,2022-04-14 17:30:11,17:30:11,No
25,8564,1,Email,Yes,Yes,No,No,2022-04-24 14:11:34,14:11:34,No
26,5036,1,Email,Yes,Yes,No,No,2022-03-24 12:43:33,12:43:33,No
