customer_id,age,job,marital,education,credit_default,customer_segment,region,income,credit_card,personal_loan,mortgage,savings_account,investment_product,auto_loan,wealth_management
1,38,blue-collar,married,secondary,no,High-Value,Urban,2603,yes,yes,yes,yes,yes,yes,yes
2,18,student,divorced,tertiary,no,Young Professionals,Suburban,793,yes,yes,no,yes,yes,no,no
3,73,services,divorced,secondary,no,Budget-Conscious,Urban,3130,yes,no,no,no,yes,yes,no
4,87,retired,married,primary,no,Retired,Urban,2401,yes,yes,no,yes,no,no,no
5,20,technician,single,primary,no,Budget-Conscious,Suburban,3354,yes,yes,no,yes,no,yes,no
6,46,technician,married,tertiary,no,Middle-Market,Urban,3355,yes,yes,no,yes,no,yes,yes
7,70,admin,married,tertiary,no,Budget-Conscious,Urban,4918,yes,yes,yes,yes,no,yes,no
8,56,management,married,tertiary,no,Budget-Conscious,Suburban,6548,yes,no,yes,yes,yes,yes,no
9,35,services,divorced,secondary,no,Middle-Market,Urban,2055,yes,no,no,yes,no,yes,no
10,40,services,married,secondary,no,High-Value,Rural,3264,yes,yes,no,yes,yes,yes,no
11,44,admin,married,secondary,no,Middle-Market,Suburban,4243,yes,yes,no,no,no,no,no
12,20,student,single,tertiary,no,Budget-Conscious,Suburban,1270,no,yes,yes,no,no,no,no
13,37,management,single,secondary,no,Budget-Conscious,Suburban,7613,no,no,no,yes,yes,yes,no
14,44,technician,divorced,tertiary,no,Budget-Conscious,Urban,3601,yes,no,yes,yes,no,no,yes
15,50,technician,married,secondary,no,Budget-Conscious,Urban,3108,yes,yes,yes,yes,yes,no,no
16,52,technician,married,secondary,no,Middle-Market,Urban,3499,yes,no,yes,yes,no,yes,no
17,44,entrepreneur,married,tertiary,no,Middle-Market,Suburban,6847,yes,yes,no,yes,no,yes,yes
18,39,blue-collar,married,tertiary,no,Middle-Market,Rural,-523,yes,yes,yes,yes,no,no,yes
19,36,blue-collar,married,secondary,no,Middle-Market,Urban,2369,yes,no,yes,yes,no,yes,no
20,25,technician,single,primary,no,Budget-Conscious,Suburban,4092,yes,yes,no,yes,no,yes,no
21,53,services,single,tertiary,no,High-Value,Urban,2463,yes,yes,no,yes,yes,yes,no
22,35,admin,married,secondary,no,High-Value,Urban,4242,yes,yes,yes,yes,no,yes,yes
23,39,technician,married,tertiary,no,High-Value,Urban,3759,yes,no,yes,yes,no,yes,no
24,28,blue-collar,single,tertiary,no,Young Professionals,Urban,2998,yes,no,no,yes,yes,no,yes
25,43,blue-collar,single,primary,no,Middle-Market,Urban,3769,yes,no,no,yes,no,yes,no
26,28,self-employed,single,tertiary,no,Budget-Conscious,Urban,5367,yes,yes,yes,yes,yes,yes,yes
27,32,technician,divorced,tertiary,no,Middle-Market,Suburban,3500,yes,yes,yes,yes,yes,no,no
28,47,blue-collar,married,secondary,no,Middle-Market,Urban,2511,no,yes,yes,no,yes,yes,no
29,75,retired,divorced,secondary,no,Retired,Urban,2356,yes,no,no,yes,no,no,no
30,34,admin,married,secondary,no,Budget-Conscious,Suburban,4620,yes,no,yes,yes,no,yes,yes
31,45,services,single,secondary,no,Middle-Market,Suburban,1755,yes,no,yes,yes,no,yes,yes
32,52,technician,single,tertiary,no,Middle-Market,Rural,4168,no,yes,no,yes,yes,yes,no
33,61,admin,divorced,secondary,no,Budget-Conscious,Urban,4550,yes,no,no,yes,no,no,no
34,58,unemployed,married,secondary,no,High-Value,Urban,713,yes,yes,yes,no,no,yes,no
35,21,student,single,secondary,no,Budget-Conscious,Urban,140,yes,yes,yes,yes,no,no,no
36,17,management,single,tertiary,no,High-Value,Urban,8307,yes,yes,no,yes,yes,no,yes
37,45,entrepreneur,married,secondary,no,High-Value,Urban,6284,no,yes,yes,no,yes,no,yes
38,42,admin,divorced,primary,no,Middle-Market,Suburban,3539,yes,yes,no,yes,no,yes,no
39,58,services,married,tertiary,no,High-Value,Urban,3009,yes,no,yes,yes,no,yes,no
40,63,blue-collar,divorced,primary,no,Retired,Urban,1150,yes,yes,yes,yes,no,no,no
41,50,admin,married,tertiary,no,Budget-Conscious,Rural,3875,yes,no,no,yes,no,yes,no
42,47,blue-collar,married,secondary,no,Middle-Market,Suburban,2300,yes,yes,no,yes,no,yes,no
43,43,admin,married,tertiary,no,Middle-Market,Suburban,3007,yes,no,yes,yes,no,no,no
44,61,unemployed,single,secondary,no,Budget-Conscious,Suburban,532,yes,no,yes,yes,yes,no,no
45,41,technician,married,tertiary,no,Middle-Market,Rural,3695,yes,yes,yes,yes,yes,yes,no
46,30,services,married,secondary,no,Middle-Market,Urban,2507,yes,yes,no,yes,no,yes,no
47,66,entrepreneur,divorced,tertiary,no,Retired,Urban,6643,no,no,yes,yes,no,yes,yes
48,43,blue-collar,divorced,secondary,no,Middle-Market,Suburban,2465,yes,yes,yes,yes,no,yes,no
49,37,blue-collar,married,secondary,no,Middle-Market,Urban,1304,no,yes,yes,yes,no,yes,no
50,53,technician,single,tertiary,no,Middle-Market,Suburban,3814,yes,yes,yes,yes,no,yes,no
51,18,student,single,secondary,yes,Young Professionals,Urban,867,no,no,yes,yes,no,no,no
52,59,self-employed,divorced,secondary,no,Budget-Conscious,Suburban,3450,yes,no,no,yes,no,no,no
53,33,unemployed,single,secondary,no,Middle-Market,Urban,816,yes,no,yes,yes,no,yes,no
54,32,management,married,tertiary,no,High-Value,Urban,6651,yes,yes,yes,no,yes,no,no
55,67,retired,married,tertiary,no,Retired,Suburban,2209,no,yes,yes,yes,no,no,no
56,53,unemployed,married,secondary,no,High-Value,Urban,323,yes,yes,yes,no,yes,no,no
57,42,admin,married,secondary,no,Budget-Conscious,Urban,3392,yes,no,yes,yes,yes,yes,no
58,34,technician,single,secondary,no,Middle-Market,Urban,3007,yes,no,no,yes,no,yes,no
59,51,admin,married,secondary,no,Middle-Market,Urban,3302,yes,yes,no,yes,no,yes,yes
60,39,entrepreneur,married,tertiary,no,Middle-Market,Urban,4231,yes,no,yes,yes,yes,yes,yes
61,48,blue-collar,married,secondary,no,Middle-Market,Suburban,1526,yes,yes,yes,yes,yes,no,no
62,46,technician,married,tertiary,no,Budget-Conscious,Urban,3613,yes,no,yes,yes,no,yes,yes
63,52,management,married,tertiary,no,High-Value,Urban,9693,yes,yes,yes,yes,no,no,yes
64,25,blue-collar,single,secondary,no,Budget-Conscious,Urban,1380,yes,yes,yes,yes,no,yes,no
65,52,technician,married,tertiary,no,Budget-Conscious,Suburban,3327,yes,yes,yes,yes,yes,yes,no
66,45,blue-collar,divorced,secondary,no,High-Value,Urban,1377,yes,no,yes,yes,no,yes,no
67,25,admin,single,secondary,no,Young Professionals,Urban,4762,yes,no,yes,yes,no,yes,no
68,42,management,single,tertiary,no,Budget-Conscious,Urban,6436,yes,yes,no,yes,yes,no,no
69,21,admin,single,tertiary,no,Young Professionals,Urban,3170,yes,yes,yes,yes,no,yes,no
70,18,student,married,tertiary,no,Young Professionals,Urban,1199,no,yes,yes,yes,yes,no,no
71,39,self-employed,married,secondary,no,Middle-Market,Suburban,4535,no,no,yes,yes,no,no,no
72,37,technician,married,tertiary,no,High-Value,Suburban,2834,yes,no,no,yes,yes,yes,no
73,40,admin,married,secondary,no,Budget-Conscious,Urban,3541,yes,yes,yes,yes,yes,yes,no
74,48,management,married,primary,no,High-Value,Urban,8720,yes,yes,yes,yes,no,yes,no
75,49,services,married,tertiary,no,High-Value,Urban,2239,yes,no,no,yes,no,no,yes
76,49,services,married,secondary,no,Middle-Market,Urban,2889,yes,no,no,no,no,yes,no
77,41,self-employed,married,secondary,no,High-Value,Urban,3375,yes,yes,yes,no,yes,yes,no
78,37,admin,married,primary,no,High-Value,Urban,4179,yes,yes,yes,no,no,yes,yes
79,58,blue-collar,married,primary,no,Middle-Market,Urban,3555,no,no,yes,yes,no,yes,yes
80,47,admin,married,primary,no,Budget-Conscious,Suburban,4831,yes,yes,yes,yes,no,yes,no
81,56,management,married,primary,no,Middle-Market,Urban,5181,yes,no,yes,yes,yes,yes,yes
82,42,services,divorced,secondary,no,Middle-Market,Suburban,3092,no,no,no,yes,no,no,no
83,50,entrepreneur,married,tertiary,no,High-Value,Urban,8223,yes,no,yes,yes,yes,yes,no
84,27,admin,married,secondary,no,Young Professionals,Suburban,4819,yes,no,yes,yes,no,yes,yes
85,40,entrepreneur,married,tertiary,no,High-Value,Suburban,4174,yes,yes,yes,yes,no,no,no
86,74,entrepreneur,divorced,tertiary,no,Retired,Urban,5146,no,no,no,yes,yes,yes,no
87,53,services,married,primary,no,Middle-Market,Urban,1388,no,yes,no,yes,yes,no,no
88,27,services,single,secondary,no,Young Professionals,Urban,1677,yes,yes,no,yes,no,yes,no
89,53,management,divorced,secondary,yes,Middle-Market,Suburban,8845,yes,yes,no,yes,yes,yes,no
90,34,blue-collar,single,secondary,no,Budget-Conscious,Urban,1105,yes,yes,no,yes,no,yes,no
91,55,admin,married,secondary,no,Budget-Conscious,Urban,3844,yes,yes,yes,yes,no,yes,no
92,51,services,married,primary,no,Budget-Conscious,Urban,2985,yes,yes,no,no,no,yes,no
93,49,self-employed,divorced,secondary,no,Budget-Conscious,Urban,5645,yes,yes,no,yes,yes,yes,no
94,77,retired,married,tertiary,no,Budget-Conscious,Suburban,1548,no,yes,no,yes,yes,yes,no
95,54,self-employed,married,tertiary,yes,Budget-Conscious,Urban,3280,no,yes,yes,yes,yes,yes,no
96,32,blue-collar,married,secondary,no,Budget-Conscious,Suburban,2235,yes,yes,yes,yes,yes,yes,no
97,35,blue-collar,married,primary,no,Middle-Market,Suburban,2591,yes,yes,yes,yes,no,yes,no
98,30,blue-collar,married,secondary,no,Middle-Market,Urban,3364,yes,yes,yes,yes,no,yes,no
99,18,admin,single,secondary,no,Young Professionals,Urban,3292,yes,no,no,yes,no,no,no
100,51,admin,married,secondary,no,Middle-Market,Suburban,4543,yes,yes,no,yes,no,yes,no
101,41,admin,married,primary,no,Budget-Conscious,Suburban,3111,yes,yes,yes,yes,no,yes,no
102,57,services,married,secondary,no,Middle-Market,Rural,3481,no,no,yes,yes,no,no,no
103,47,entrepreneur,married,secondary,no,Middle-Market,Suburban,3464,yes,yes,yes,yes,yes,yes,no
104,47,blue-collar,married,secondary,no,Middle-Market,Suburban,2733,yes,no,yes,yes,no,yes,no
105,32,unemployed,married,secondary,no,High-Value,Urban,74,no,yes,yes,yes,yes,no,no
106,34,technician,married,tertiary,no,Middle-Market,Suburban,4152,yes,no,yes,yes,no,yes,no
107,36,blue-collar,married,primary,no,Budget-Conscious,Suburban,1691,yes,yes,no,yes,no,yes,no
108,51,self-employed,married,secondary,no,Budget-Conscious,Urban,4781,yes,yes,no,no,no,yes,no
109,36,technician,married,tertiary,no,Budget-Conscious,Rural,3112,yes,no,yes,yes,yes,yes,no
110,67,admin,married,primary,no,Retired,Urban,4587,yes,yes,no,yes,no,yes,no
111,26,technician,married,tertiary,no,Young Professionals,Rural,3074,yes,no,no,yes,no,no,yes
112,46,technician,divorced,tertiary,no,Budget-Conscious,Urban,3557,yes,yes,no,yes,no,no,yes
113,61,unemployed,divorced,primary,no,Budget-Conscious,Suburban,648,no,yes,no,no,no,yes,no
114,34,management,married,tertiary,no,High-Value,Urban,8647,yes,yes,no,yes,yes,no,yes
115,20,services,single,primary,no,Budget-Conscious,Suburban,2864,yes,no,yes,yes,no,yes,no
116,35,management,married,tertiary,no,Middle-Market,Rural,8480,yes,no,yes,no,yes,yes,no
117,52,management,single,tertiary,no,Middle-Market,Suburban,5391,yes,no,yes,yes,no,yes,no
118,42,technician,married,secondary,no,Budget-Conscious,Suburban,2854,yes,no,yes,yes,no,no,no
119,24,management,married,secondary,no,Young Professionals,Urban,6817,yes,no,no,yes,no,no,no
120,67,blue-collar,married,primary,no,Retired,Rural,3652,no,no,no,no,no,no,no
121,43,management,married,primary,no,Middle-Market,Suburban,9601,yes,no,yes,yes,yes,yes,no
122,66,management,single,primary,no,Retired,Suburban,5106,yes,no,no,yes,yes,yes,yes
123,32,entrepreneur,married,tertiary,no,High-Value,Urban,2325,yes,yes,no,yes,yes,yes,yes
