customer_id,has_mobile_app,has_web_account,mobile_logins_per_week,web_logins_per_week,avg_mobile_session_duration,avg_web_session_duration,last_mobile_login,last_web_login
1,Yes,Yes,11,5,2.2,6.4,2025-02-18 19:57:10.715114,2025-02-12 01:38:30.954772
2,Yes,Yes,10,6,2.7,7.6,2025-02-22 05:34:55.571759,2025-02-18 15:53:44.003142
3,Yes,No,4,0,3.5,0.0,2025-02-21 02:03:32.891242,
4,No,Yes,0,9,0.0,4.2,,2025-02-03 15:26:38.463387
5,Yes,Yes,8,5,3.9,4.2,2025-02-16 09:05:27.362445,2025-02-16 13:53:17.717689
6,Yes,Yes,7,6,1.7,5.7,2025-02-22 18:03:18.771260,2025-02-02 14:22:47.459075
7,No,Yes,0,7,0.0,4.8,,2025-02-08 13:09:35.291025
8,Yes,Yes,6,8,3.0,5.6,2025-02-24 11:57:47.593195,2025-02-25 12:25:33.596706
9,Yes,Yes,11,5,2.3,7.8,2025-02-20 09:44:07.223954,2025-02-07 21:21:32.823037
10,Yes,Yes,5,5,2.1,5.3,2025-02-22 01:22:24.988739,2025-02-07 05:36:45.842796
11,Yes,Yes,7,5,3.2,5.4,2025-02-25 02:11:39.262312,2025-01-29 23:44:55.346445
12,Yes,Yes,8,6,3.8,6.4,2025-02-22 05:26:33.519976,2025-01-28 23:35:35.201122
13,Yes,Yes,13,5,0.0,3.2,2025-02-15 20:48:00.194577,2025-02-11 02:59:47.648920
14,Yes,Yes,6,5,2.8,3.5,2025-02-24 10:33:52.215037,2025-02-18 21:18:15.278803
15,Yes,Yes,7,5,3.0,2.4,2025-02-21 19:12:53.702735,2025-02-02 23:09:50.224288
16,No,Yes,0,7,0.0,5.1,,2025-02-21 13:12:26.205278
17,Yes,Yes,5,3,4.4,3.0,2025-02-20 01:42:01.320145,2025-02-21 22:30:44.176320
18,Yes,No,11,0,2.9,0.0,2024-04-06 12:58:23.841651,
19,Yes,No,10,0,3.6,0.0,2025-02-18 13:40:21.287740,
20,Yes,Yes,11,5,2.9,6.2,2025-02-24 18:01:07.217160,2025-02-16 22:51:49.008013
21,Yes,Yes,5,8,6.0,7.2,2025-02-15 14:52:40.237363,2025-02-18 19:48:42.683669
22,Yes,Yes,8,7,4.1,6.8,2025-02-18 18:13:24.250072,2025-02-14 12:38:41.548986
23,Yes,No,8,0,1.9,0.0,2025-02-24 02:04:43.718346,
24,Yes,Yes,11,4,1.7,4.0,2025-02-21 05:37:23.363632,2025-02-06 16:37:43.616940
25,Yes,Yes,5,5,6.0,4.6,2025-02-19 21:43:41.313309,2025-02-04 08:12:48.294298
26,Yes,Yes,11,7,4.0,0.0,2025-02-15 22:20:01.313485,2025-01-27 06:11:34.262331
27,Yes,Yes,8,5,3.0,2.9,2025-02-22 22:30:45.144387,2025-01-26 18:32:06.224135
28,Yes,Yes,6,4,3.2,6.3,2025-02-24 04:50:39.827671,2025-02-04 16:57:33.260697
29,Yes,No,6,0,6.6,0.0,2025-02-16 15:30:18.362345,
30,Yes,No,11,0,1.8,0.0,2025-02-25 09:34:04.448212,
31,No,Yes,0,5,0.0,7.5,,2025-02-12 07:13:55.674826
32,No,Yes,0,8,0.0,9.0,,2025-01-28 21:18:35.377611
33,Yes,Yes,6,8,1.0,6.2,2025-02-16 03:49:40.874290,2025-02-15 04:36:14.907780
