table_name,column_name,data_type,data_explaination,data_assumption\
customers,customer_id,INTEGER,Unique identifier for each customer,Sequentially generated from 1 to n_customers\
customers,age,INTEGER,Customer\'92s age, Generated based on job type with anomalies injected for unrealistic values\
customers,job,STRING,Customer\'92s occupation category, Randomly chosen from a fixed list with defined probabilities\
customers,marital,STRING,Marital status of the customer, Assigned based on age with predefined probability distributions\
customers,education,STRING,Education level achieved by the customer, Selected using job-specific probabilities\
customers,credit_default,STRING,Indicates if the customer has defaulted on credit, Calculated using education; marital status; account creation year and added noise\
customers,customer_segment,STRING,Segment assigned to customer based on demographics and behavior, Determined via a rule-based function using age; job; education and region\
customers,region,STRING,Geographic region (Urban/Suburban/Rural) of the customer, Randomly assigned using given probabilities\
customers,income,INTEGER,Monthly income in USD, Drawn from job-specific income ranges with occasional negative or high anomaly values\
customers,credit_card,STRING,Indicator if the customer owns a credit card, Simulated based on job; age; income and customer segment with noise injection\
customers,personal_loan,STRING,Indicator if the customer owns a personal loan, Simulated using income; education; age and segment probabilities\
customers,mortgage,STRING,Indicator if the customer has a mortgage, Probability based on age; marital status; income; region and occasional anomaly injection\
customers,savings_account,STRING,Indicator if the customer holds a savings account, High base probability adjusted for student and unemployed roles with anomaly injection\
customers,investment_product,STRING,Indicator if the customer owns an investment product, Probability driven by income; education; customer segment with added noise\
customers,auto_loan,STRING,Indicator if the customer has an auto loan, Determined using age; income; job type and region with anomaly injection\
customers,wealth_management,STRING,Indicator if the customer uses wealth management services, Simulated based on higher income; tertiary education and specific job types with anomaly injection\
transactions_summary,customer_id,INTEGER,Unique customer identifier linking to the customers table, Same as in customers table\
transactions_summary,days_since_last_transaction,INTEGER,Days elapsed since the last transaction, Simulated using a t-distribution-based noise approach\
transactions_summary,current_balance,FLOAT,Current account balance of the customer, Calculated as a multiple of income\
transactions_summary,peak_month,INTEGER,Month (1-12) with the highest transaction activity, Randomly selected using weighted probabilities\
transactions_summary,peak_month_spending,FLOAT,Total spending during the peak month, Assumed to be 15%-25% of the annual spending\
transactions_summary,peak_month_frequency,INTEGER,Number of transactions during the peak month, Derived from average monthly frequency with a multiplier\
transactions_summary,total_transactions_3m,INTEGER,Total number of transactions in the past 3 months, Simulated using a Poisson distribution with noise\
transactions_summary,total_transaction_amount_3m,FLOAT,Total spending amount in the past 3 months, Computed as product of transactions and average transaction amount (\uc0\u8776 5% of income with lognormal noise)\
transactions_summary,average_transaction_amount_3m,FLOAT,Average transaction amount over 3 months, Based on income with mild lognormal noise\
transactions_summary,transaction_frequency_3m,FLOAT,Average monthly transaction frequency for 3 months, Calculated by dividing transaction count by 3\
transactions_summary,high_value_transaction_rate_3m,FLOAT,Proportion of high-value transactions over 3 months, Determined via binomial simulation based on income thresholds\
transactions_summary,online_transaction_ratio_3m,FLOAT,Ratio of online transactions in the past 3 months, Based on age and job with additional noise\
transactions_summary,total_transactions_6m,INTEGER,Total number of transactions in the past 6 months, Simulated using a Poisson process with independent noise factor\
transactions_summary,total_transaction_amount_6m,FLOAT,Total spending amount in the past 6 months, Product of transactions count and average transaction amount with noise\
transactions_summary,average_transaction_amount_6m,FLOAT,Average transaction amount over 6 months, Calculated with a higher noise factor compared to 3m window\
transactions_summary,transaction_frequency_6m,FLOAT,Average monthly transaction frequency for 6 months, Transactions count divided by 6\
transactions_summary,high_value_transaction_rate_6m,FLOAT,Proportion of high-value transactions over 6 months, Simulated similarly to the 3m window using binomial probability\
