customer_id,days_since_last_transaction,account_lifetime_days,current_balance,peak_month,peak_month_spending,peak_month_frequency,total_transactions_3m,total_transactions_6m,total_transactions_12m,total_transaction_amount_3m,total_transaction_amount_6m,total_transaction_amount_12m,average_transaction_amount_3m,average_transaction_amount_6m,average_transaction_amount_12m,transaction_frequency_3m,transaction_frequency_6m,transaction_frequency_12m,high_value_transaction_rate_3m,high_value_transaction_rate_6m,high_value_transaction_rate_12m,online_transaction_ratio_3m,online_transaction_ratio_6m,online_transaction_ratio_12m
1,17,1622,6798.718516276671,1,13896.560821543919,42.487652138733736,143,117,421,19077.499179986466,15608.862965443474,56165.22485856155,133.40908517473054,133.40908517473054,133.40908517473054,47.666666666666664,19.5,35.083333333333336,0.02097902097902098,0.05128205128205128,0.0332541567695962,0.6265535483520699,0.6566430305740182,0.6330547535885356
2,69,1044,1568.0424044980903,3,3107.601164767503,40.923876912664944,84,163,359,3355.0137022283325,6510.324207895455,14338.689513094898,39.940639312242055,39.940639312242055,39.940639312242055,28.0,27.166666666666668,29.916666666666668,0.13095238095238096,0.09202453987730061,0.10027855153203342,0.6567628968040307,0.7260762375483296,0.6694296221184816
3,51,1322,5295.393489169883,2,6514.417826361281,26.99355505845414,58,133,261,9493.764657912947,21770.184474179685,42721.940960608255,163.6855975502232,163.6855975502232,163.6855975502232,19.333333333333332,22.166666666666668,21.75,0.034482758620689655,0.06015037593984962,0.0842911877394636,0.5151570563631427,0.5433179489505782,0.5250767653524342
4,97,317,6665.251238036457,1,2902.94664557652,16.816216116506606,17,64,135,2142.2389168678947,8064.899451737957,17011.89728100975,126.01405393340558,126.01405393340558,126.01405393340558,5.666666666666667,10.666666666666666,11.25,0.11764705882352941,0.046875,0.037037037037037035,0.4695096178271313,0.4717992101048898,0.44111663029411463
5,16,1734,8911.899828528747,3,14331.346366250233,65.24066883681238,151,254,524,27013.959665855167,45440.70036508088,93743.80705237157,178.90039513811368,178.90039513811368,178.90039513811368,50.333333333333336,42.333333333333336,43.666666666666664,0.07947019867549669,0.07086614173228346,0.06870229007633588,0.6676763414270618,0.7260397427535753,0.7213572462061414
6,47,1803,9906.45678799821,12,17110.077631643366,51.26986733714627,92,245,430,14762.663173925448,39313.61388708407,68999.40396508633,160.46373015136356,160.46373015136356,160.46373015136356,30.666666666666668,40.833333333333336,35.833333333333336,0.10869565217391304,0.08571428571428572,0.08837209302325581,0.6700386058124439,0.6152429187906097,0.5479034540051585
7,62,1729,11455.1958301198,10,15024.619802913083,28.772787783028637,78,155,336,17852.47621361984,35476.074527065066,76902.97445867008,228.87790017461333,228.87790017461333,228.87790017461333,26.0,25.833333333333332,28.0,0.08974358974358974,0.12903225806451613,0.12202380952380952,0.4832004241129114,0.5627270321735212,0.4982011097613792
8,5,1622,12769.06832873801,6,33300.03756002012,48.5701868317665,125,297,546,48576.9916253629,115418.93210186226,212184.29941958515,388.6159330029032,388.6159330029032,388.6159330029032,41.666666666666664,49.5,45.5,0.168,0.12121212121212122,0.16117216117216118,0.679664489509132,0.7205019246420374,0.749034126575661
9,7,1102,3240.5668272413272,5,5413.589675120347,36.74215890249454,107,192,363,9592.629993607434,17212.943539931097,32543.221380182225,89.65074760380779,89.65074760380779,89.65074760380779,35.666666666666664,32.0,30.25,0.06542056074766354,0.041666666666666664,0.06336088154269973,0.6011689932452192,0.5664749515388458,0.6125048182103823
10,49,1812,7798.87842091177,1,10704.27126082819,42.15263531725957,89,185,388,14931.750538111834,31037.90842191786,65095.72144704934,167.77247795631274,167.77247795631274,167.77247795631274,29.666666666666668,30.833333333333332,32.333333333333336,0.1348314606741573,0.11891891891891893,0.14690721649484537,0.6152375745404025,0.6675625607435448,0.6054099852850082
11,10,980,12093.764903040703,8,16680.059238776794,51.18486105836023,124,236,422,27070.029030155692,51520.377831586644,92125.42137682019,218.30668572706205,218.30668572706205,218.30668572706205,41.333333333333336,39.333333333333336,35.166666666666664,0.0967741935483871,0.16101694915254236,0.16350710900473933,0.724293085549379,0.6524948733085835,0.6217632393528757
12,39,1818,3428.2818957002564,11,4739.369208380212,40.19162946049843,124,153,352,8292.31397615109,10231.645470573523,23539.47193229987,66.87349980767009,66.87349980767009,66.87349980767009,41.333333333333336,25.5,29.333333333333332,0.04032258064516129,0.11764705882352941,0.06534090909090909,0.7265974764293249,0.7008645065239744,0.8019976481820265
13,13,1308,11829.386067861238,9,50029.44707406802,53.49321512035422,148,219,561,59798.877491517276,88486.17682866407,226670.06941041345,404.0464695372789,404.0464695372789,404.0464695372789,49.333333333333336,36.5,46.75,0.13513513513513514,0.1415525114155251,0.11586452762923351,0.71435016635109,0.7060030522685073,0.666355064214453
14,29,1529,4920.175101217836,1,11569.067963518073,40.906366907887055,101,209,443,16890.85667129862,34952.3667752615,74085.63866718108,167.23620466632298,167.23620466632298,167.23620466632298,33.666666666666664,34.833333333333336,36.916666666666664,0.0891089108910891,0.09090909090909091,0.06772009029345373,0.581810628271462,0.7856227789319421,0.6104388275790885
15,39,602,7573.854402256868,11,15430.991065767854,43.5272589187714,102,193,503,17115.546168383626,32385.298142137643,84403.13453624475,167.79947223905515,167.79947223905515,167.79947223905515,34.0,32.166666666666664,41.916666666666664,0.06862745098039216,0.12435233160621761,0.10139165009940358,0.5864899891106472,0.6777702606581327,0.6065589693737322
16,13,1373,7014.306843851949,12,12204.29798970661,40.649332457262254,118,134,428,22403.11619262518,25440.826862811646,81258.76042748794,189.85691688665406,189.85691688665406,189.85691688665406,39.333333333333336,22.333333333333332,35.666666666666664,0.07627118644067797,0.09701492537313433,0.0794392523364486,0.6229297417745704,0.696032300656704,0.7015455362099633
17,12,1812,10553.300181821287,8,29171.487031998222,57.20550086745518,147,289,534,53005.7159882637,104208.51646672252,192551.376447162,360.58310196097756,360.58310196097756,360.58310196097756,49.0,48.166666666666664,44.5,0.1360544217687075,0.15916955017301038,0.1254681647940075,0.6597411590562052,0.7177264764480805,0.6958218858246292
18,4,1115,-1316.4526789418226,3,-1973.0020786725352,45.20979832387731,85,185,424,-2306.615520402917,-5020.280838523996,-11505.940948833375,-27.13665318121079,-27.13665318121079,-27.13665318121079,28.333333333333332,30.833333333333332,35.333333333333336,0.058823529411764705,0.04864864864864865,0.07547169811320754,0.6259117971706504,0.632406805829478,0.5660830524460347
19,8,1116,6859.118919359734,6,9482.99700412516,45.791200255406466,105,173,381,11369.533062564762,18732.659236416228,41255.16282702071,108.28126726252154,108.28126726252154,108.28126726252154,35.0,28.833333333333332,31.75,0.06666666666666667,0.08670520231213873,0.12598425196850394,0.5620189825209082,0.6669262033306033,0.64968187349045
20,18,1774,8763.106994455497,10,26759.65610916264,54.80533952588308,149,264,563,29167.48991671043,51679.31099336613,110210.04579267096,195.75496588396263,195.75496588396263,195.75496588396263,49.666666666666664,44.0,46.916666666666664,0.0738255033557047,0.125,0.1172291296625222,0.679615313286322,0.7098128754708044,0.6319459935081183
21,21,28,5122.727734117943,5,9439.748874584748,34.0689568177422,71,190,372,8712.37120554373,23314.79618384942,45647.91673890518,122.70945359920746,122.70945359920746,122.70945359920746,23.666666666666668,31.666666666666668,31.0,0.1267605633802817,0.10526315789473684,0.10215053763440861,0.6100421491956548,0.6130794005672899,0.6816306010424882
22,20,167,12632.451553655475,12,19406.9446669214,46.572841312463474,97,192,455,22746.15938959223,45023.32580207947,106695.90229138624,234.49648855249723,234.49648855249723,234.49648855249723,32.333333333333336,32.0,37.916666666666664,0.14432989690721648,0.11979166666666667,0.13406593406593406,0.6577044880308003,0.6380790798709959,0.6082579326928006
23,54,1757,5979.557730321183,4,17057.713459260915,43.33641457337749,88,190,396,16435.48001459326,35485.69548605363,73959.66006566967,186.76681834765068,186.76681834765068,186.76681834765068,29.333333333333332,31.666666666666668,33.0,0.125,0.15263157894736842,0.12878787878787878,0.5483479701038566,0.6939268236399638,0.6436876743963178
24,34,1146,6464.164414058921,6,20933.71367636537,57.39111898990062,128,173,469,23094.256616766514,31213.33120859849,84618.79963487106,180.4238798184884,180.4238798184884,180.4238798184884,42.666666666666664,28.833333333333332,39.083333333333336,0.0234375,0.07514450867052024,0.0767590618336887,0.7305540880800714,0.6678886871829275,0.6174132201656104
25,56,1823,6660.066106907732,7,18514.942686434642,48.08643319047858,89,229,415,16604.367201804715,42723.59650801438,77424.85830055007,186.5659236157833,186.5659236157833,186.5659236157833,29.666666666666668,38.166666666666664,34.583333333333336,0.10112359550561797,0.1222707423580786,0.08674698795180723,0.6548245071094193,0.6344269755960295,0.6560038135260295
26,37,59,5822.097901075676,9,35360.539098567744,53.96189268833511,156,341,597,37507.65904749191,81987.89573842783,143538.9259702094,240.43371184289686,240.43371184289686,240.43371184289686,52.0,56.833333333333336,49.75,0.10256410256410256,0.0967741935483871,0.10887772194304858,0.8787788272948571,0.7324550607086253,0.6886124737431669
27,35,1476,4773.48275477453,8,15185.919403978869,52.12926698918098,83,266,449,14051.261210817662,45031.75279611443,76012.2443814112,169.2923037447911,169.2923037447911,169.2923037447911,27.666666666666668,44.333333333333336,37.416666666666664,0.04819277108433735,0.03383458646616541,0.0556792873051225,0.6424342273428446,0.647229121848625,0.5837021140853025
28,6,1762,6422.193084545007,4,9653.54284358528,36.74287100305446,113,200,414,14726.202901824592,26064.075932432905,53952.63718013612,130.32037966216453,130.32037966216453,130.32037966216453,37.666666666666664,33.333333333333336,34.5,0.061946902654867256,0.02,0.06521739130434782,0.6363487534332973,0.6851505903426851,0.6601940989875753
29,48,69,4380.2689782031275,7,2755.8542239861995,17.4833942401919,40,89,129,5376.763188236864,11963.298093827023,17340.061282063885,134.4190797059216,134.4190797059216,134.4190797059216,13.333333333333334,14.833333333333334,10.75,0.125,0.07865168539325842,0.12403100775193798,0.4406860601208,0.5250184818517468,0.3732900846161346
30,43,1676,8679.856770114711,1,16086.675929042312,48.276124167335375,99,246,452,23447.13791366222,58262.585118797026,107051.5791613669,236.83977690567897,236.83977690567897,236.83977690567897,33.0,41.0,37.666666666666664,0.0707070707070707,0.14634146341463414,0.12168141592920353,0.5935316114658884,0.558485710992847,0.6055820948011811
31,37,673,2343.9104082500544,10,8192.908022661319,40.64164835179049,98,252,379,9226.49316885995,23725.268148497013,35682.05011222368,94.14788947816275,94.14788947816275,94.14788947816275,32.666666666666664,42.0,31.583333333333332,0.01020408163265306,0.027777777777777776,0.036939313984168866,0.605953815398969,0.6212133963732354,0.6702146818839689
32,51,1810,11049.941406870705,6,16073.696751002766,54.930765299424344,96,234,451,17690.083410350555,43119.57831272948,83106.53768820937,184.2717021911516,184.2717021911516,184.2717021911516,32.0,39.0,37.583333333333336,0.09375,0.11538461538461539,0.1419068736141907,0.6371330963015294,0.6448692267400121,0.6584383791919424
33,47,110,12835.515858180634,12,14186.58705129002,30.591970456650664,83,145,317,17287.773429956826,30201.531895707707,66026.79731682305,208.2864268669497,208.2864268669497,208.2864268669497,27.666666666666668,24.166666666666668,26.416666666666668,0.12048192771084337,0.14482758620689656,0.11041009463722397,0.47359612131145745,0.4566383882120992,0.45825299972773637
34,67,615,1558.7790189227471,11,1624.442904573402,28.452015757193358,69,113,261,2626.1770639233996,4300.840698889046,9933.800198318946,38.06053715831014,38.06053715831014,38.06053715831014,23.0,18.833333333333332,21.75,0.13043478260869565,0.10619469026548672,0.07279693486590039,0.6014951046662214,0.5775878220945942,0.5672843166607971
35,13,1167,287.9744149031849,12,495.4185887416689,31.543256521151385,64,205,352,420.54560745139423,1347.060148867747,2313.0008409826683,6.571025116428035,6.571025116428035,6.571025116428035,21.333333333333332,34.166666666666664,29.333333333333332,0.109375,0.0975609756097561,0.07670454545454546,0.8253894268616206,0.6707414919969862,0.814185099893602
36,24,530,9073.481574012898,9,62068.306840058554,75.6902197835715,176,270,645,68071.09661351828,104427.25048664736,249465.0983847687,386.7675943949902,386.7675943949902,386.7675943949902,58.666666666666664,45.0,53.75,0.09659090909090909,0.13703703703703704,0.13488372093023257,0.7345729515292165,0.8079586355000594,0.7513898014319531
37,33,1757,10622.005755020473,9,30836.794296991593,53.55220189535716,169,265,544,60400.53027110534,94710.8906617924,194425.37554722663,357.39958740299016,357.39958740299016,357.39958740299016,56.333333333333336,44.166666666666664,45.333333333333336,0.10650887573964497,0.07169811320754717,0.10294117647058823,0.7226824277332052,0.7160215121515923,0.5850327895260558
38,13,259,10594.385883006154,7,12320.11587741926,49.599443576915654,103,201,459,16560.028616371997,32316.17234845409,73796.63237781308,160.77697685798054,160.77697685798054,160.77697685798054,34.333333333333336,33.5,38.25,0.11650485436893204,0.09950248756218906,0.09368191721132897,0.6178210315804005,0.6507930137755842,0.7102391642204563
39,14,443,8116.575658579978,10,11210.287227889421,42.17633407395388,94,177,376,15073.175149002775,28382.46809971799,60292.7005960111,160.3529271170508,160.3529271170508,160.3529271170508,31.333333333333332,29.5,31.333333333333332,0.09574468085106383,0.13559322033898305,0.09840425531914894,0.6032872678757755,0.6238184632605127,0.6656140708143439
40,34,473,2468.2882036935066,4,2538.170660266308,27.868938543175386,61,130,293,3354.060449888734,7147.997680090745,16110.487078973756,54.98459753915958,54.98459753915958,54.98459753915958,20.333333333333332,21.666666666666668,24.416666666666668,0.14754098360655737,0.06923076923076923,0.12286689419795221,0.4258764245919973,0.48031674289596427,0.4181718370883304
41,41,727,7032.079948622802,3,21438.295999461752,47.04759383019788,100,306,425,20563.15334344402,62923.2492309387,87393.40170963708,205.6315334344402,205.6315334344402,205.6315334344402,33.333333333333336,51.0,35.416666666666664,0.12,0.09803921568627451,0.10352941176470588,0.6402615009826282,0.680418032852112,0.6106549246723975
42,36,1735,5170.385493869596,1,6188.4435681031255,40.09760505220443,99,217,406,9652.675333439036,21157.884316730007,39585.71904420453,97.50177104483875,97.50177104483875,97.50177104483875,33.0,36.166666666666664,33.833333333333336,0.09090909090909091,0.11981566820276497,0.09113300492610837,0.6238406996210716,0.5929383741815604,0.6744002407230413
43,8,168,6813.667066294243,11,10382.793875284024,53.50700691944973,112,241,459,15297.839774957974,32917.673087186355,62693.825506300986,136.58785513355335,136.58785513355335,136.58785513355335,37.333333333333336,40.166666666666664,38.25,0.09821428571428571,0.0954356846473029,0.11764705882352941,0.5948920190901148,0.6625214660685876,0.6833686575765158
44,81,1528,561.7204694094727,4,1051.3355741556888,16.498873245684614,37,46,165,944.2256656409404,1173.902178904953,4210.736076506897,25.519612584890282,25.519612584890282,25.519612584890282,12.333333333333334,7.666666666666667,13.75,0.13513513513513514,0.0,0.048484848484848485,0.49112217374659484,0.43239777501900145,0.41687128097094217
45,6,1739,8262.921979553219,9,14882.699663741863,54.472506546535655,112,236,464,19127.73891248694,40304.87842274034,79243.48978030305,170.78338314720483,170.78338314720483,170.78338314720483,37.333333333333336,39.333333333333336,38.666666666666664,0.11607142857142858,0.09322033898305085,0.14224137931034483,0.6122919438564425,0.6351564564296492,0.6983288523281296
46,60,1732,6570.215126407949,9,7315.120987478689,36.27158088505395,90,171,343,9289.345354205114,17649.756172989717,35402.727294359494,103.21494838005682,103.21494838005682,103.21494838005682,30.0,28.5,28.583333333333332,0.03333333333333333,0.11695906432748537,0.11661807580174927,0.7455171560728675,0.6792193795092276,0.7131938467342879
47,33,1117,18566.813701940013,8,24787.924373593,43.07280891079738,83,184,366,29958.50381723827,66414.0325586969,132106.17345914707,360.94582912335267,360.94582912335267,360.94582912335267,27.666666666666668,30.666666666666668,30.5,0.18072289156626506,0.14673913043478262,0.09289617486338798,0.5153072439355519,0.5020485060937642,0.5893223178706969
48,52,1488,2616.910987074838,8,10765.190042381708,38.53946027838289,95,237,382,12271.229043030406,30613.487191560067,49343.257836185425,129.170832031899,129.170832031899,129.170832031899,31.666666666666668,39.5,31.833333333333332,0.021052631578947368,0.03375527426160337,0.03926701570680628,0.659538008564004,0.5592415959048573,0.6454267222991587
49,50,733,3807.329821688629,1,5756.489033186141,46.34831938862572,128,184,386,9983.697527340455,14351.565195551904,30107.08785588606,77.9976369323473,77.9976369323473,77.9976369323473,42.666666666666664,30.666666666666668,32.166666666666664,0.046875,0.07608695652173914,0.04404145077720207,0.679848714151862,0.6808059630918853,0.7303283032298336
50,38,1306,10169.52614853154,10,15978.167398423397,52.20627574786485,90,309,454,18203.89462701285,62500.03821941079,91828.53511848704,202.26549585569833,202.26549585569833,202.26549585569833,30.0,51.5,37.833333333333336,0.1111111111111111,0.07766990291262135,0.06387665198237885,0.5977071885903281,0.6928914395244961,0.6738344764317312
51,38,1442,1812.2060201693625,10,2389.814395852914,31.927447105117984,71,136,336,3118.1758707846225,5972.843921502938,14756.437923713142,43.91797001105102,43.91797001105102,43.91797001105102,23.666666666666668,22.666666666666668,28.0,0.08450704225352113,0.07352941176470588,0.0625,0.7075502640007013,0.6991179879762118,0.6144606861597548
52,14,1213,6856.513770022194,8,15718.019042805861,49.60868588693273,101,214,475,16739.712518015767,35468.30177084529,78726.37075304445,165.7397279011462,165.7397279011462,165.7397279011462,33.666666666666664,35.666666666666664,39.583333333333336,0.0594059405940594,0.04672897196261682,0.06736842105263158,0.7236459415284451,0.75804151671911,0.7178269765508698
