campaign_id,customer_segment,campaign_name,campaign_type,start_date,end_date,recommended_product_id,recommended_product_name,campaign_budget,total_campaign_cost,total_revenue_generated
1,Retired,Wealth Management Campaign for Retired,Email,2022-03-17,2022-05-04,107,Wealth Management,58055.93,70597.33,94151.78
2,Middle-Market,Auto Loan Campaign for Middle-Market,Mobile App Notifications,2022-03-23,2022-05-02,106,Auto Loan,35527.89,87461.14,184133.52
3,Retired,Mortgage Campaign for Retired,Email,2022-05-22,2022-06-26,103,Mortgage,52445.28,56053.99,160828.61
4,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Email,2023-01-13,2023-02-21,102,Personal Loan,57816.78,22910.89,58342.54
5,Young Professionals,Personal Loan Campaign for Young Professionals,Mobile App Notifications,2023-12-06,2024-01-13,102,Personal Loan,36979.25,24374.42,63738.91
6,Middle-Market,Savings Account Campaign for Middle-Market,Email,2023-12-25,2024-02-19,104,Savings Account,36112.27,92445.4,149392.76
7,Young Professionals,Credit Card Campaign for Young Professionals,SMS,2023-03-18,2023-04-28,101,Credit Card,64751.26,10520.47,19903.98
8,Middle-Market,Personal Loan Campaign for Middle-Market,SMS,2024-04-11,2024-05-19,102,Personal Loan,29313.53,47256.53,54272.54
9,Young Professionals,Personal Loan Campaign for Young Professionals,SMS,2023-08-07,2023-09-25,102,Personal Loan,73087.05,47119.67,62738.27
10,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Mobile App Notifications,2022-07-02,2022-08-05,106,Auto Loan,67625.11,59348.91,159796.32
11,High-Value,Investment Product Campaign for High-Value,Email,2023-05-16,2023-07-01,105,Investment Product,63688.16,74835.1,210110.23
12,Retired,Savings Account Campaign for Retired,Email,2024-03-31,2024-05-25,104,Savings Account,46020.84,54644.64,106086.72
13,Young Professionals,Auto Loan Campaign for Young Professionals,Mobile App Notifications,2024-03-10,2024-04-23,106,Auto Loan,69589.13,12412.06,29154.99
14,Retired,Wealth Management Campaign for Retired,Email,2022-11-26,2023-01-01,107,Wealth Management,30564.6,31177.54,73388.35
15,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Mobile App Notifications,2023-11-23,2024-01-22,102,Personal Loan,63339.56,27377.33,57489.12
16,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,SMS,2022-04-01,2022-05-21,106,Auto Loan,53642.64,52775.33,75890.63
17,Budget-Conscious,Auto Loan Campaign for Budget-Conscious,Mobile App Notifications,2022-03-02,2022-04-13,106,Auto Loan,60705.92,23800.74,50276.15
18,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,SMS,2023-07-04,2023-08-24,102,Personal Loan,39229.08,50873.49,102469.14
19,Middle-Market,Personal Loan Campaign for Middle-Market,Email,2023-03-08,2023-04-13,102,Personal Loan,74485.39,88209.18,189516.12
20,Young Professionals,Personal Loan Campaign for Young Professionals,Mobile App Notifications,2023-07-21,2023-08-31,102,Personal Loan,58712.51,59145.71,175751.04
21,Middle-Market,Savings Account Campaign for Middle-Market,Email,2022-08-18,2022-10-01,104,Savings Account,76239.07,72615.09,192787.07
22,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,SMS,2022-07-19,2022-09-12,102,Personal Loan,50210.51,31295.41,61781.72
23,Middle-Market,Credit Card Campaign for Middle-Market,Email,2023-09-08,2023-11-06,101,Credit Card,36029.09,29172.67,51174.06
24,Retired,Savings Account Campaign for Retired,Email,2023-12-07,2024-01-21,104,Savings Account,44285.39,57854.46,91234.81
25,Middle-Market,Savings Account Campaign for Middle-Market,SMS,2023-02-25,2023-03-31,104,Savings Account,60557.62,13047.7,31554.55
26,Retired,Wealth Management Campaign for Retired,Email,2022-07-13,2022-09-10,107,Wealth Management,62129.11,82784.33,215543.44
27,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2023-10-24,2023-12-16,107,Wealth Management,66655.2,16900.68,36479.6
28,Budget-Conscious,Credit Card Campaign for Budget-Conscious,Email,2023-12-31,2024-02-15,101,Credit Card,37955.82,46316.41,62894.96
29,Retired,Wealth Management Campaign for Retired,Email,2022-04-16,2022-06-05,107,Wealth Management,32823.32,15212.46,25482.35
30,Middle-Market,Credit Card Campaign for Middle-Market,SMS,2022-10-23,2022-12-13,101,Credit Card,48068.52,52289.77,120154.14
31,Retired,Mortgage Campaign for Retired,Direct Mail,2023-09-25,2023-11-13,103,Mortgage,69214.15,105298.23,107459.93
32,Middle-Market,Personal Loan Campaign for Middle-Market,Email,2022-05-20,2022-06-30,102,Personal Loan,29287.71,17367.97,37078.06
33,Retired,Savings Account Campaign for Retired,Direct Mail,2022-12-23,2023-01-27,104,Savings Account,41004.96,24924.08,39833.18
34,Middle-Market,Auto Loan Campaign for Middle-Market,SMS,2022-12-17,2023-02-11,106,Auto Loan,46099.28,47238.89,64249.02
35,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,SMS,2022-12-19,2023-02-03,102,Personal Loan,43215.54,56186.75,115872.87
36,High-Value,Wealth Management Campaign for High-Value,Email,2022-05-19,2022-07-08,107,Wealth Management,79938.04,84373.73,232241.99
37,High-Value,Investment Product Campaign for High-Value,Email,2023-08-10,2023-09-29,105,Investment Product,51634.7,18548.46,38403.07
38,Middle-Market,Credit Card Campaign for Middle-Market,SMS,2023-02-20,2023-03-24,101,Credit Card,39412.34,70731.68,194851.01
39,Retired,Wealth Management Campaign for Retired,Email,2022-08-09,2022-09-08,107,Wealth Management,54379.78,58181.17,106092.83
