customer_id,age,job,marital,education,credit_default,region,income,created_at,credit_card,personal_loan,mortgage,savings_account,investment_product,auto_loan,wealth_management,cluster
1,38,blue-collar,married,secondary,0,Urban,2603,2020-09-23 22:11:32.308466,1,1,1,1,1,1,1,2
3,73,services,divorced,secondary,0,Urban,3130,2021-07-21 13:09:42.193173,1,0,0,0,1,1,0,2
4,87,retired,married,primary,0,Urban,2401,2024-04-21 00:54:54.070579,1,1,0,1,0,0,0,0
6,46,technician,married,tertiary,0,Urban,3355,2020-03-26 18:33:36.134127,1,1,0,1,0,1,1,2
7,70,admin,married,tertiary,0,Urban,4918,2020-06-09 11:04:25.367786,1,1,1,1,0,1,0,2
8,56,management,married,tertiary,0,Suburban,6548,2020-09-24 03:15:07.282398,1,0,1,1,1,1,0,1
9,35,services,divorced,secondary,0,Urban,2055,2022-02-26 12:27:24.462568,1,0,0,1,0,1,0,2
10,40,services,married,secondary,0,Rural,3264,2020-03-18 11:44:11.653245,1,1,0,1,1,1,0,2
11,44,admin,married,secondary,0,Suburban,4243,2022-06-27 19:28:22.943483,1,1,0,0,0,0,0,2
13,37,management,single,secondary,0,Suburban,7613,2021-08-04 09:26:56.148104,0,0,0,1,1,1,0,1
14,44,technician,divorced,tertiary,0,Urban,3601,2020-12-26 05:45:27.053739,1,0,1,1,0,0,1,2
15,50,technician,married,secondary,0,Urban,3108,2023-07-11 10:20:29.871488,1,1,1,1,1,0,0,2
16,52,technician,married,secondary,0,Urban,3499,2021-05-30 16:55:42.454194,1,0,1,1,0,1,0,2
17,44,entrepreneur,married,tertiary,0,Suburban,6847,2020-03-18 00:00:24.684163,1,1,0,1,0,1,1,1
19,36,blue-collar,married,secondary,0,Urban,2369,2022-02-12 07:54:42.091153,1,0,1,1,0,1,0,2
20,25,technician,single,primary,0,Suburban,4092,2020-04-25 06:43:03.240774,1,1,0,1,0,1,0,2
21,53,services,single,tertiary,0,Urban,2463,2025-02-04 00:48:43.768905,1,1,0,1,1,1,0,2
22,35,admin,married,secondary,0,Urban,4242,2024-09-18 09:26:50.490381,1,1,1,1,0,1,1,2
23,39,technician,married,tertiary,0,Urban,3759,2020-05-11 22:19:32.917435,1,0,1,1,0,1,0,2
24,28,blue-collar,single,tertiary,0,Urban,2998,2022-01-12 18:45:01.186704,1,0,0,1,1,0,1,2
25,43,blue-collar,single,primary,0,Urban,3769,2020-03-06 16:34:46.276485,1,0,0,1,0,1,0,2
26,28,self-employed,single,tertiary,0,Urban,5367,2025-01-04 10:37:23.312524,1,1,1,1,1,1,1,1
27,32,technician,divorced,tertiary,0,Suburban,3500,2021-02-17 09:01:05.602251,1,1,1,1,1,0,0,2
28,47,blue-collar,married,secondary,0,Urban,2511,2020-05-06 16:39:07.723847,0,1,1,0,1,1,0,2
29,75,retired,divorced,secondary,0,Urban,2356,2024-12-25 15:12:00.770099,1,0,0,1,0,0,0,0
30,34,admin,married,secondary,0,Suburban,4620,2020-07-31 18:15:29.798516,1,0,1,1,0,1,1,2
31,45,services,single,secondary,0,Suburban,1755,2023-04-30 16:13:59.074368,1,0,1,1,0,1,1,2
32,52,technician,single,tertiary,0,Rural,4168,2020-03-19 23:23:57.405976,0,1,0,1,1,1,0,2
33,61,admin,divorced,secondary,0,Urban,4550,2024-11-14 02:44:10.189073,1,0,0,1,0,0,0,2
34,58,unemployed,married,secondary,0,Urban,713,2023-06-28 02:17:37.752852,1,1,1,0,0,1,0,0
35,21,student,single,secondary,0,Urban,140,2021-12-23 02:27:56.425728,1,1,1,1,0,0,0,0
37,45,entrepreneur,married,secondary,0,Urban,6284,2020-05-11 23:10:03.277850,0,1,1,0,1,0,1,1
38,42,admin,divorced,primary,0,Suburban,3539,2024-06-18 02:06:40.652050,1,1,0,1,0,1,0,2
39,58,services,married,tertiary,0,Urban,3009,2023-12-17 04:14:40.245774,1,0,1,1,0,1,0,2
40,63,blue-collar,divorced,primary,0,Urban,1150,2023-11-17 11:25:37.932489,1,1,1,1,0,0,0,2
41,50,admin,married,tertiary,0,Rural,3875,2023-03-07 16:38:02.040023,1,0,0,1,0,1,0,2
42,47,blue-collar,married,secondary,0,Suburban,2300,2020-06-03 02:59:48.669599,1,1,0,1,0,1,0,2
43,43,admin,married,tertiary,0,Suburban,3007,2024-09-17 10:59:54.929173,1,0,1,1,0,0,0,2
44,61,unemployed,single,secondary,0,Suburban,532,2020-12-27 10:31:43.580943,1,0,1,1,1,0,0,0
45,41,technician,married,tertiary,0,Rural,3695,2020-05-29 22:55:13.730234,1,1,1,1,1,1,0,2
46,30,services,married,secondary,0,Urban,2507,2020-06-06 10:13:02.134154,1,1,0,1,0,1,0,2
47,66,entrepreneur,divorced,tertiary,0,Urban,6643,2022-02-10 23:47:54.638145,0,0,1,1,0,1,1,1
48,43,blue-collar,divorced,secondary,0,Suburban,2465,2021-02-05 04:33:34.792206,1,1,1,1,0,1,0,2
49,37,blue-collar,married,secondary,0,Urban,1304,2023-03-02 00:10:48.972103,0,1,1,1,0,1,0,2
50,53,technician,single,tertiary,0,Suburban,3814,2021-08-05 21:47:45.878602,1,1,1,1,0,1,0,2
52,59,self-employed,divorced,secondary,0,Suburban,3450,2021-11-07 15:03:09.610219,1,0,0,1,0,0,0,1
53,33,unemployed,single,secondary,0,Urban,816,2020-03-29 23:23:17.734051,1,0,1,1,0,1,0,0
54,32,management,married,tertiary,0,Urban,6651,2021-11-04 20:42:11.191638,1,1,1,0,1,0,0,1
55,67,retired,married,tertiary,0,Suburban,2209,2020-07-15 22:10:53.855371,0,1,1,1,0,0,0,0
56,53,unemployed,married,secondary,0,Urban,323,2021-03-04 02:35:16.410527,1,1,1,0,1,0,0,0
57,42,admin,married,secondary,0,Urban,3392,2023-01-18 10:36:07.185380,1,0,1,1,1,1,0,2
