customer_id,age,job,marital,education,credit_default,customer_segment,region,income,created_at,credit_card,personal_loan,mortgage,savings_account,investment_product,auto_loan,wealth_management
1,38,blue-collar,married,secondary,no,High-Value,Urban,2603,2020-09-23 22:11:32.308466,yes,yes,yes,yes,yes,yes,yes
2,18,student,divorced,tertiary,no,Young Professionals,Suburban,793,2022-04-25 00:06:57.094379,yes,yes,no,yes,yes,no,no
3,73,services,divorced,secondary,no,Budget-Conscious,Urban,3130,2021-07-21 13:09:42.193173,yes,no,no,no,yes,yes,no
4,87,retired,married,primary,no,Retired,Urban,2401,2024-04-21 00:54:54.070579,yes,yes,no,yes,no,no,no
5,20,technician,single,primary,no,Budget-Conscious,Suburban,3354,2020-06-04 02:12:43.905811,yes,yes,no,yes,no,yes,no
6,46,technician,married,tertiary,no,Middle-Market,Urban,3355,2020-03-26 18:33:36.134127,yes,yes,no,yes,no,yes,yes
7,70,admin,married,tertiary,no,Budget-Conscious,Urban,4918,2020-06-09 11:04:25.367786,yes,yes,yes,yes,no,yes,no
8,56,management,married,tertiary,no,Budget-Conscious,Suburban,6548,2020-09-24 03:15:07.282398,yes,no,yes,yes,yes,yes,no
9,35,services,divorced,secondary,no,Middle-Market,Urban,2055,2022-02-26 12:27:24.462568,yes,no,no,yes,no,yes,no
10,40,services,married,secondary,no,High-Value,Rural,3264,2020-03-18 11:44:11.653245,yes,yes,no,yes,yes,yes,no
11,44,admin,married,secondary,no,Middle-Market,Suburban,4243,2022-06-27 19:28:22.943483,yes,yes,no,no,no,no,no
12,20,student,single,tertiary,no,Budget-Conscious,Suburban,1270,2020-03-12 02:02:20.109815,no,yes,yes,no,no,no,no
13,37,management,single,secondary,no,Budget-Conscious,Suburban,7613,2021-08-04 09:26:56.148104,no,no,no,yes,yes,yes,no
14,44,technician,divorced,tertiary,no,Budget-Conscious,Urban,3601,2020-12-26 05:45:27.053739,yes,no,yes,yes,no,no,yes
15,50,technician,married,secondary,no,Budget-Conscious,Urban,3108,2023-07-11 10:20:29.871488,yes,yes,yes,yes,yes,no,no
16,52,technician,married,secondary,no,Middle-Market,Urban,3499,2021-05-30 16:55:42.454194,yes,no,yes,yes,no,yes,no
17,44,entrepreneur,married,tertiary,no,Middle-Market,Suburban,6847,2020-03-18 00:00:24.684163,yes,yes,no,yes,no,yes,yes
18,39,blue-collar,married,tertiary,no,Middle-Market,Rural,-523,2022-02-12 23:47:15.591703,yes,yes,yes,yes,no,no,yes
19,36,blue-collar,married,secondary,no,Middle-Market,Urban,2369,2022-02-12 07:54:42.091153,yes,no,yes,yes,no,yes,no
20,25,technician,single,primary,no,Budget-Conscious,Suburban,4092,2020-04-25 06:43:03.240774,yes,yes,no,yes,no,yes,no
