customer_id,has_mobile_app,has_web_account,mobile_logins_per_week,web_logins_per_week,avg_mobile_session_duration,avg_web_session_duration,last_mobile_login,last_web_login
1,Yes,Yes,10,5,3.5,6.1,2025-02-25 10:10:57.212311,2025-02-14 07:13:04.548653
2,Yes,Yes,9,4,4.5,3.9,2025-02-24 17:04:24.062455,2025-02-04 14:34:09.160143
3,Yes,Yes,6,10,2.5,5.4,2025-02-18 16:05:25.475060,2025-02-20 21:17:24.557808
4,Yes,Yes,6,8,3.0,6.8,2025-02-26 05:18:44.490566,2025-02-10 05:35:05.226968
5,Yes,Yes,11,6,1.3,1.6,2025-02-19 08:25:08.512088,2025-02-01 19:34:26.705257
6,Yes,Yes,5,5,3.2,6.5,2025-02-18 18:39:39.652725,2025-02-10 21:26:21.602861
7,No,Yes,0,7,0.0,6.5,,2025-02-15 18:57:41.857292
8,No,Yes,0,7,0.0,2.6,,2025-02-23 22:20:40.800705
9,Yes,Yes,11,6,2.1,5.3,2025-02-23 02:26:45.680019,2025-02-07 06:12:32.006728
10,Yes,Yes,4,6,6.4,2.4,2025-02-24 15:51:20.676700,2025-02-01 18:46:51.419267
11,Yes,Yes,4,4,6.2,4.3,2025-02-21 22:25:56.154924,2025-02-24 16:04:23.855254
12,Yes,No,10,0,1.6,0.0,2025-02-20 00:52:17.347945,
13,Yes,Yes,11,5,0.9,4.3,2025-02-27 01:03:34.314927,2025-02-06 06:31:55.362313
14,Yes,Yes,5,4,3.2,5.0,2025-02-21 07:12:26.517386,2025-02-14 17:13:54.152956
15,Yes,Yes,5,4,3.1,6.2,2025-02-23 05:48:13.611076,2025-02-21 13:24:04.122290
16,Yes,Yes,5,8,5.3,7.0,2025-02-22 08:44:54.430716,2025-02-25 02:13:48.776700
17,Yes,Yes,6,5,6.4,4.5,2025-02-21 21:43:53.520058,2025-02-12 08:37:37.743432
18,Yes,Yes,9,6,4.3,5.1,2025-02-05 07:17:19.073734,2025-02-07 09:31:33.537571
19,Yes,Yes,11,7,0.1,5.6,2025-02-26 06:19:32.107337,2025-02-28 01:49:28.985107
20,Yes,Yes,11,6,3.1,4.2,2025-02-26 19:53:01.800217,2025-02-05 04:19:07.701114
21,Yes,Yes,6,8,3.5,6.0,2025-02-26 16:18:49.127555,2025-02-26 17:17:58.825529
22,Yes,Yes,10,5,4.3,2.2,2025-02-27 07:25:32.221343,2025-02-08 02:12:19.204163
23,Yes,Yes,10,5,3.3,4.4,2025-02-18 06:16:52.020383,2025-02-13 21:13:53.153615
24,Yes,Yes,12,5,2.9,3.8,2025-02-23 08:23:02.595199,2025-02-04 10:33:49.551348
25,Yes,Yes,7,6,2.7,2.0,2025-02-20 17:27:01.960980,2025-02-06 07:34:32.380320
26,Yes,Yes,10,4,1.6,6.3,2025-02-27 07:38:16.166225,2025-02-18 12:10:29.952583
27,Yes,Yes,11,4,4.0,6.2,2025-02-25 09:18:18.738532,2025-02-05 19:02:11.077661
28,Yes,Yes,6,3,3.8,7.8,2025-02-19 10:47:25.493703,2025-02-22 09:57:16.119269
29,Yes,No,7,0,4.1,0.0,2025-02-23 01:05:06.702210,
30,Yes,Yes,10,4,3.9,1.7,2025-02-23 16:20:12.596281,2025-02-11 11:05:59.724730
31,Yes,Yes,8,5,6.5,6.8,2025-02-22 22:43:18.867958,2025-02-10 18:46:10.501854
32,No,Yes,0,8,0.0,2.0,,2025-02-19 09:37:06.390041
33,Yes,Yes,5,8,4.4,3.7,2025-02-21 23:36:32.692107,2025-02-23 15:07:02.817573
34,Yes,No,9,0,4.1,0.0,2025-02-23 13:19:57.661705,
35,Yes,Yes,7,5,4.1,6.5,2025-02-27 22:20:43.330431,2025-02-02 22:59:34.016496
36,Yes,Yes,10,5,4.0,5.1,2025-02-23 22:10:46.480711,2025-01-31 22:33:46.881486
37,Yes,No,6,0,5.8,0.0,2025-02-23 21:58:37.424289,
38,Yes,Yes,6,6,2.2,7.3,2025-02-21 05:24:39.492373,2025-02-06 15:12:37.579754
39,Yes,Yes,4,7,4.8,8.1,2025-02-26 06:34:33.006967,2025-02-12 18:23:43.979881
40,No,Yes,0,8,0.0,2.4,,2025-02-22 11:21:17.855604
41,Yes,Yes,6,5,5.7,3.7,2025-02-28 01:38:18.565844,2025-02-16 18:48:47.743944
42,No,Yes,0,7,0.0,6.9,,2025-02-14 19:57:41.522496
43,Yes,Yes,6,5,0.5,4.6,2025-02-18 22:35:42.872710,2025-02-22 10:15:27.972864
44,Yes,No,5,0,6.2,0.0,2025-02-24 02:11:03.208700,
45,Yes,Yes,6,4,4.7,4.6,2025-02-19 13:54:07.594085,2025-02-17 14:28:58.466044
46,Yes,Yes,8,5,2.9,10.0,2025-02-24 23:56:10.121494,2025-02-14 17:55:40.265698
47,Yes,Yes,8,8,4.8,4.7,2025-02-23 01:09:16.200388,2025-02-07 01:38:19.874521
48,Yes,Yes,6,5,2.4,2.7,2025-02-25 12:11:30.281034,2025-02-22 10:20:15.790131
49,No,Yes,0,5,0.0,5.8,,2025-02-02 05:21:06.895205
50,Yes,Yes,7,7,5.0,4.8,2025-02-22 12:37:59.436475,2025-02-12 18:00:15.782999
51,Yes,Yes,9,4,2.1,1.6,2025-02-21 19:30:24.233711,2025-01-31 20:41:43.820005
52,Yes,No,7,0,2.8,0.0,2025-02-22 16:06:09.803631,
53,Yes,No,9,0,2.1,0.0,2025-02-23 05:41:11.542623,
54,Yes,Yes,11,5,3.5,0.3,2025-02-22 02:14:27.686502,2025-01-29 03:48:40.052858
55,No,Yes,0,9,0.0,5.0,,2025-02-22 05:22:42.926228
56,Yes,Yes,6,7,3.5,5.3,2025-02-20 15:36:04.448830,2025-02-20 11:05:37.801589
57,Yes,Yes,8,4,4.3,4.2,2025-02-19 13:50:01.490414,2025-01-29 21:25:56.213078
58,Yes,Yes,11,5,2.6,5.5,2025-02-24 10:07:35.242460,2025-02-05 18:01:54.233958
59,Yes,Yes,8,8,6.3,3.5,2025-02-23 03:43:20.255852,2025-01-29 12:03:38.565514
60,Yes,Yes,11,5,3.1,3.8,2025-02-21 06:34:55.214144,2025-02-19 03:22:38.469341
61,No,Yes,0,5,0.0,2.7,,2025-02-03 16:10:33.236568
62,Yes,Yes,5,5,0.8,1.3,2025-02-26 00:31:14.428732,2025-02-24 00:17:31.572298
63,No,Yes,0,7,0.0,7.2,,2025-02-20 09:56:31.294401
64,Yes,Yes,8,5,1.4,5.1,2025-02-26 10:50:40.123848,2025-01-29 09:29:00.641407
65,Yes,Yes,7,8,3.7,3.9,2025-02-21 04:01:30.717036,2025-02-10 02:47:21.607323
66,Yes,Yes,6,4,5.8,7.1,2025-02-28 02:21:04.475821,2025-02-03 08:31:26.516780
67,No,Yes,0,5,0.0,4.1,,2025-02-24 22:47:45.723967
68,Yes,Yes,8,5,3.6,3.6,2025-02-25 10:49:15.169762,2025-02-15 02:54:27.204339
69,Yes,Yes,10,5,4.1,6.7,2025-02-28 00:58:23.275523,2025-02-22 03:32:46.572956
70,Yes,Yes,9,5,3.0,4.6,2025-02-25 23:08:10.724642,2025-02-20 22:02:16.848295
71,Yes,Yes,9,4,3.3,2.8,2025-02-21 10:52:17.498026,2025-02-26 22:42:40.800360
72,Yes,Yes,12,7,3.2,3.4,2025-02-24 06:24:50.473480,2025-02-17 20:09:14.424145
73,Yes,No,7,0,4.4,0.0,2025-02-21 11:46:39.566387,
74,No,Yes,0,4,0.0,2.9,,2024-08-09 00:21:41.930117
75,Yes,Yes,6,6,4.3,3.0,2025-02-26 22:52:08.994191,2025-02-03 05:34:35.275872
76,Yes,Yes,7,3,6.2,2.5,2025-02-24 04:00:35.778275,2025-02-26 10:55:15.836648
77,Yes,Yes,5,6,4.3,7.3,2025-02-20 17:18:59.228614,2025-02-25 10:28:46.550294
78,Yes,Yes,11,5,4.0,5.9,2025-02-26 10:47:04.190438,2025-02-16 11:40:59.971171
79,No,No,0,0,0.0,0.0,,
80,Yes,Yes,6,4,4.4,2.1,2025-02-28 00:26:38.393215,2025-01-30 19:08:42.431461
81,No,No,0,0,0.0,0.0,,
82,Yes,Yes,6,4,2.7,3.6,2025-02-22 20:39:00.440601,2025-02-26 19:59:14.451983
83,Yes,Yes,6,5,5.3,6.6,2025-02-20 15:52:10.122278,2025-02-22 14:51:09.923988
84,Yes,Yes,10,5,4.3,4.9,2025-02-22 19:07:32.688161,2025-02-26 18:19:18.225433
85,Yes,Yes,5,3,5.9,2.7,2025-02-23 16:07:34.444613,2025-02-07 17:12:43.136703
86,No,Yes,0,9,0.0,7.3,,2025-02-14 06:50:21.409460
87,Yes,Yes,7,10,4.3,9.5,2025-02-21 19:37:36.820919,2025-02-23 14:56:26.215463
88,Yes,Yes,10,5,4.8,4.8,2025-02-23 07:07:56.812431,2025-02-21 08:19:29.930708
89,Yes,Yes,6,9,5.0,7.3,2025-02-23 09:33:41.699531,2025-02-07 08:22:09.862447
90,Yes,Yes,10,4,4.9,3.2,2025-02-25 00:24:08.769969,2025-02-13 09:26:30.200052
91,Yes,No,6,0,3.5,0.0,2025-02-25 18:08:21.017108,
92,Yes,Yes,7,9,2.2,3.3,2025-02-18 23:28:52.715430,2025-02-17 20:16:05.568545
93,Yes,No,6,0,5.8,0.0,2025-02-22 00:19:15.038387,
94,Yes,Yes,6,8,6.2,7.0,2025-02-22 23:59:31.764974,2025-02-19 23:51:37.220177
95,Yes,Yes,5,8,5.5,4.7,2025-02-22 03:25:41.059394,2025-02-08 16:22:47.834360
96,Yes,Yes,9,6,3.5,9.5,2025-02-22 06:14:11.546494,2025-02-20 21:38:00.886106
