customer_id,age,job,marital,education,credit_default,customer_segment,region,income,credit_card,personal_loan,mortgage,savings_account,investment_product,auto_loan,wealth_management,Cluster
1,38,blue-collar,married,secondary,0,High-Value,Urban,2603,1,1,1,1,1,1,1,1
3,73,services,divorced,secondary,0,Budget-Conscious,Urban,3130,1,0,0,0,1,1,0,0
4,87,retired,married,primary,0,Retired,Urban,2401,1,1,0,1,0,0,0,0
6,46,technician,married,tertiary,0,Middle-Market,Urban,3355,1,1,0,1,0,1,1,1
7,70,admin,married,tertiary,0,Budget-Conscious,Urban,4918,1,1,1,1,0,1,0,0
8,56,management,married,tertiary,0,Budget-Conscious,Suburban,6548,1,0,1,1,1,1,0,2
9,35,services,divorced,secondary,0,Middle-Market,Urban,2055,1,0,0,1,0,1,0,1
10,40,services,married,secondary,0,High-Value,Rural,3264,1,1,0,1,1,1,0,1
11,44,admin,married,secondary,0,Middle-Market,Suburban,4243,1,1,0,0,0,0,0,1
13,37,management,single,secondary,0,Budget-Conscious,Suburban,7613,0,0,0,1,1,1,0,2
14,44,technician,divorced,tertiary,0,Budget-Conscious,Urban,3601,1,0,1,1,0,0,1,1
15,50,technician,married,secondary,0,Budget-Conscious,Urban,3108,1,1,1,1,1,0,0,1
16,52,technician,married,secondary,0,Middle-Market,Urban,3499,1,0,1,1,0,1,0,1
17,44,entrepreneur,married,tertiary,0,Middle-Market,Suburban,6847,1,1,0,1,0,1,1,1
19,36,blue-collar,married,secondary,0,Middle-Market,Urban,2369,1,0,1,1,0,1,0,1
20,25,technician,single,primary,0,Budget-Conscious,Suburban,4092,1,1,0,1,0,1,0,1
21,53,services,single,tertiary,0,High-Value,Urban,2463,1,1,0,1,1,1,0,1
22,35,admin,married,secondary,0,High-Value,Urban,4242,1,1,1,1,0,1,1,1
23,39,technician,married,tertiary,0,High-Value,Urban,3759,1,0,1,1,0,1,0,1
24,28,blue-collar,single,tertiary,0,Young Professionals,Urban,2998,1,0,0,1,1,0,1,1
25,43,blue-collar,single,primary,0,Middle-Market,Urban,3769,1,0,0,1,0,1,0,1
26,28,self-employed,single,tertiary,0,Budget-Conscious,Urban,5367,1,1,1,1,1,1,1,1
